protocol,n_fit_queries,n_eval_queries,beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
heldout,48,48,full,16.0,32,3,0.11296569555997849,0.2527412474155426,0.13977555185556412
heldout,48,48,full,16.0,64,0,0.06764372438192368,0.19575172662734985,0.12810800224542618
heldout,48,48,full,16.0,64,1,0.06515195220708847,0.19259245693683624,0.12744050472974777
heldout,48,48,full,16.0,64,2,0.04148337244987488,0.6824529767036438,0.6409696042537689
heldout,48,48,full,16.0,64,3,0.10860893875360489,0.1913057416677475,0.08269680291414261
heldout,48,48,full,16.0,128,0,0.07310760766267776,0.19488048553466797,0.1217728778719902
heldout,48,48,full,16.0,128,1,0.06828238070011139,0.18690530955791473,0.11862292885780334
heldout,48,48,full,16.0,128,2,0.047051411122083664,0.6824547648429871,0.6354033537209034
heldout,48,48,full,16.0,128,3,0.10941258072853088,0.1816219538450241,0.07220937311649323
heldout,48,48,over_m,0.0,16,0,0.9734610915184021,0.8625265955924988,-0.11093449592590332
heldout,48,48,over_m,0.0,16,1,1.900464653968811,0.8595173954963684,-1.0409472584724426
heldout,48,48,over_m,0.0,16,2,1.29461669921875,0.8831014633178711,-0.4115152359008789
heldout,48,48,over_m,0.0,16,3,0.9118359684944153,0.9351804852485657,0.02334451675415039
heldout,48,48,over_m,0.0,32,0,1.0054965019226074,1.0949193239212036,0.08942282199859619
heldout,48,48,over_m,0.0,32,1,1.319398283958435,0.9923071265220642,-0.32709115743637085
heldout,48,48,over_m,0.0,32,2,1.1399978399276733,1.1640957593917847,0.024097919464111328
heldout,48,48,over_m,0.0,32,3,1.1608062982559204,1.121904730796814,-0.038901567459106445
heldout,48,48,over_m,0.0,64,0,0.8832941055297852,0.9334247708320618,0.05013066530227661
heldout,48,48,over_m,0.0,64,1,0.8280308842658997,0.8484780192375183,0.020447134971618652
heldout,48,48,over_m,0.0,64,2,0.7952032685279846,0.9308479428291321,0.13564467430114746
heldout,48,48,over_m,0.0,64,3,1.0078397989273071,0.9530465602874756,-0.05479323863983154
heldout,48,48,over_m,0.0,128,0,0.6878282427787781,0.6909141540527344,0.003085911273956299
heldout,48,48,over_m,0.0,128,1,0.6773876547813416,0.6572933197021484,-0.020094335079193115
heldout,48,48,over_m,0.0,128,2,0.6926133036613464,0.7204836010932922,0.0278702974319458
heldout,48,48,over_m,0.0,128,3,0.7086644768714905,0.7145357728004456,0.005871295928955078
heldout,48,48,over_m,2.0,16,0,0.8944428563117981,1.075594425201416,0.18115156888961792
heldout,48,48,over_m,2.0,16,1,1.3619779348373413,1.068202018737793,-0.29377591609954834
heldout,48,48,over_m,2.0,16,2,0.9389839768409729,1.0342063903808594,0.09522241353988647
heldout,48,48,over_m,2.0,16,3,0.9401757717132568,1.143175721168518,0.20299994945526123
heldout,48,48,over_m,2.0,32,0,1.2332276105880737,1.2134774923324585,-0.019750118255615234
heldout,48,48,over_m,2.0,32,1,1.0760070085525513,1.1095994710922241,0.03359246253967285
heldout,48,48,over_m,2.0,32,2,0.9888498187065125,1.2787867784500122,0.28993695974349976
heldout,48,48,over_m,2.0,32,3,1.2642532587051392,1.3213602304458618,0.057106971740722656
heldout,48,48,over_m,2.0,64,0,0.8995509743690491,0.8164606094360352,-0.08309036493301392
heldout,48,48,over_m,2.0,64,1,0.842721700668335,0.8431983590126038,0.00047665834426879883
heldout,48,48,over_m,2.0,64,2,0.7339242100715637,0.8643806576728821,0.13045644760131836
heldout,48,48,over_m,2.0,64,3,0.8763465285301208,0.8989834785461426,0.02263695001602173
heldout,48,48,over_m,2.0,128,0,0.658140242099762,0.693301260471344,0.03516101837158203
heldout,48,48,over_m,2.0,128,1,0.6968929171562195,0.6687241196632385,-0.028168797492980957
heldout,48,48,over_m,2.0,128,2,0.6247105598449707,0.658446192741394,0.03373563289642334
heldout,48,48,over_m,2.0,128,3,0.6884393692016602,0.7080510258674622,0.019611656665802002
heldout,48,48,over_m,4.0,16,0,0.9205324053764343,1.5601495504379272,0.6396171450614929
heldout,48,48,over_m,4.0,16,1,1.2644709348678589,1.3405450582504272,0.07607412338256836
heldout,48,48,over_m,4.0,16,2,1.0683250427246094,0.835442066192627,-0.23288297653198242
heldout,48,48,over_m,4.0,16,3,1.9508620500564575,1.071378469467163,-0.8794835805892944
heldout,48,48,over_m,4.0,32,0,1.2599782943725586,1.2655123472213745,0.005534052848815918
heldout,48,48,over_m,4.0,32,1,0.895017147064209,0.9482324719429016,0.05321532487869263
heldout,48,48,over_m,4.0,32,2,0.7963147163391113,1.0134942531585693,0.217179536819458
heldout,48,48,over_m,4.0,32,3,1.1737791299819946,1.1189218759536743,-0.05485725402832031
heldout,48,48,over_m,4.0,64,0,0.7572665810585022,0.8804026246070862,0.12313604354858398
heldout,48,48,over_m,4.0,64,1,0.7202205061912537,0.8229515552520752,0.10273104906082153
heldout,48,48,over_m,4.0,64,2,0.6122687458992004,0.8077760338783264,0.19550728797912598
heldout,48,48,over_m,4.0,64,3,0.8458377718925476,0.9041580557823181,0.05832028388977051
heldout,48,48,over_m,4.0,128,0,0.553026020526886,0.7257823944091797,0.1727563738822937
heldout,48,48,over_m,4.0,128,1,0.5894425511360168,0.6680684089660645,0.07862585783004761
heldout,48,48,over_m,4.0,128,2,0.5066405534744263,0.6422258019447327,0.1355852484703064
heldout,48,48,over_m,4.0,128,3,0.645500123500824,0.692119836807251,0.046619713306427
heldout,48,48,over_m,8.0,16,0,1.0503934621810913,1.381780982017517,0.3313875198364258
heldout,48,48,over_m,8.0,16,1,0.5960639119148254,1.1053228378295898,0.5092589259147644
heldout,48,48,over_m,8.0,16,2,0.5219683051109314,0.903985321521759,0.38201701641082764
heldout,48,48,over_m,8.0,16,3,1.3001774549484253,1.1616133451461792,-0.1385641098022461
heldout,48,48,over_m,8.0,32,0,0.613624095916748,1.0947694778442383,0.48114538192749023
heldout,48,48,over_m,8.0,32,1,0.6917972564697266,1.3132672309875488,0.6214699745178223
heldout,48,48,over_m,8.0,32,2,0.3520583212375641,1.05674147605896,0.7046831548213959
heldout,48,48,over_m,8.0,32,3,0.6790955662727356,1.252078652381897,0.5729830861091614
heldout,48,48,over_m,8.0,64,0,0.4413686990737915,0.6648516058921814,0.2234829068183899
heldout,48,48,over_m,8.0,64,1,0.49081626534461975,0.713003933429718,0.22218766808509827
heldout,48,48,over_m,8.0,64,2,0.2632385492324829,0.78471440076828,0.5214758515357971
heldout,48,48,over_m,8.0,64,3,0.4891577661037445,0.7803111672401428,0.2911534011363983
heldout,48,48,over_m,8.0,128,0,0.32054102420806885,0.5419966578483582,0.2214556336402893
heldout,48,48,over_m,8.0,128,1,0.3319365382194519,0.5202815532684326,0.1883450150489807
heldout,48,48,over_m,8.0,128,2,0.2257407307624817,0.6904889941215515,0.4647482633590698
heldout,48,48,over_m,8.0,128,3,0.42009249329566956,0.6146742105484009,0.19458171725273132
heldout,48,48,over_m,16.0,16,0,0.0925278291106224,0.3855602741241455,0.2930324450135231
heldout,48,48,over_m,16.0,16,1,0.16116538643836975,0.5890912413597107,0.42792585492134094
heldout,48,48,over_m,16.0,16,2,0.06382129341363907,0.997839629650116,0.9340183362364769
heldout,48,48,over_m,16.0,16,3,0.18703049421310425,0.40390920639038086,0.2168787121772766
heldout,48,48,over_m,16.0,32,0,0.06699129194021225,0.28566551208496094,0.2186742201447487
heldout,48,48,over_m,16.0,32,1,0.08182772994041443,0.30455735325813293,0.2227296233177185
heldout,48,48,over_m,16.0,32,2,0.04154267907142639,0.7349968552589417,0.6934541761875153
