protocol,n_fit_queries,n_eval_queries,focus_strength,budget,n_pairs,kl_median,kl_ci_lower,kl_ci_upper,kl_ceiling,kl_saturated,js_median,js_ci_lower,js_ci_upper,js_max_possible,noise_floor_kl,noise_floor_js,kl_over_floor,js_over_floor,jaccard_median,h1_criterion_met,beats_sampling_floor,key_sets_distinct
heldout,48,48,0.0,16,6,12.769540309906006,10.796238422393799,14.450836420059204,19.360688002443837,False,0.5424245893955231,0.4509296715259552,0.6070738732814789,0.6931,9.038200616836548,0.3978829085826874,1.4128409902872305,1.3632769281990842,0.10344827586206896,True,True,True
heldout,48,48,0.0,32,6,12.882065296173096,11.327489614486694,14.345483541488647,19.360688002443837,False,0.6047943532466888,0.5236809551715851,0.6482086777687073,0.6931,4.87654709815979,0.23838527500629425,2.6416366000103357,2.5370457685807986,0.164021164021164,True,True,True
heldout,48,48,0.0,64,6,9.423856019973755,8.777905702590942,11.243366003036499,19.360688002443837,False,0.46380577981472015,0.4391390532255173,0.5346283912658691,0.6931,4.6516735553741455,0.2649168074131012,2.025906570568831,1.750760113500383,0.24904798172124906,True,True,True
heldout,48,48,0.0,128,6,5.442654371261597,5.224935173988342,6.132705092430115,19.360688002443837,False,0.2740822583436966,0.2620575726032257,0.29915836453437805,0.6931,2.1639662384986877,0.11252085119485855,2.515129059979046,2.4358352734912505,0.45459241323648103,True,True,True
heldout,48,48,2.0,16,6,14.221875667572021,12.19412612915039,15.64586877822876,19.360688002443837,False,0.5996313393115997,0.5089370161294937,0.640416145324707,0.6931,4.352697849273682,0.20051544904708862,3.267370297698282,2.990449574639925,0.06666666666666667,True,True,True
heldout,48,48,2.0,32,6,12.347858190536499,10.668049335479736,14.173272848129272,19.360688002443837,False,0.5412169396877289,0.49665364623069763,0.6035498976707458,0.6931,1.9807811975479126,0.11530772596597672,6.233832492868168,4.693674557829916,0.14285714285714285,True,True,True
heldout,48,48,2.0,64,6,10.513677597045898,9.221338748931885,11.503748416900635,19.360688002443837,False,0.4979405850172043,0.4473922699689865,0.5366584658622742,0.6931,4.569793701171875,0.2519589364528656,2.300689765130924,1.9762767378975459,0.1972027972027972,True,True,True
heldout,48,48,2.0,128,6,6.637572169303894,6.021768927574158,7.114877223968506,19.360688002443837,False,0.3317207992076874,0.31596092879772186,0.34665967524051666,0.6931,1.660306453704834,0.08738898485898972,3.997799414977103,3.7959108890319513,0.3617406558583029,True,True,True
heldout,48,48,4.0,16,6,16.97707748413086,14.899404764175415,17.42804765701294,19.360688002443837,True,0.6840379238128662,0.6342071890830994,0.6931456923484802,0.6931,2.961459159851074,0.15700018405914307,5.7326731748630975,4.356924343191753,0.03225806451612903,True,True,True
heldout,48,48,4.0,32,6,14.214710712432861,13.9274001121521,15.643139839172363,19.360688002443837,False,0.623487114906311,0.597132533788681,0.6540326774120331,0.6931,3.4635629653930664,0.22039438784122467,4.104071689893384,2.8289609413987447,0.0847457627118644,True,True,True
heldout,48,48,4.0,64,6,10.521100044250488,10.057215452194214,11.564987897872925,19.360688002443837,False,0.5060659497976303,0.4734741747379303,0.532842218875885,0.6931,1.9466543793678284,0.14276151359081268,5.404708794617765,3.5448345780931665,0.1744107744107744,True,True,True
heldout,48,48,4.0,128,6,6.436315536499023,6.244917273521423,7.396877288818359,19.360688002443837,False,0.3196435868740082,0.31532149016857147,0.36645758152008057,0.6931,0.852229118347168,0.051190335303545,7.552329998981678,6.244217487121489,0.34384127858914304,True,True,True
heldout,48,48,8.0,16,6,16.12405824661255,13.67522668838501,17.26890277862549,19.360688002443837,True,0.6641264855861664,0.5859905183315277,0.6922191083431244,0.6931,0.8025871515274048,0.04702067747712135,20.090102633622816,14.124136895077863,0.03225806451612903,True,True,True
heldout,48,48,8.0,32,6,14.314066648483276,12.66230821609497,16.097713708877563,19.360688002443837,False,0.6195815801620483,0.5626736283302307,0.6794824302196503,0.6931,0.2744039446115494,0.025090647861361504,52.16421603831716,24.693725868919344,0.04918032786885246,True,True,True
heldout,48,48,8.0,64,6,10.52783727645874,9.950340509414673,12.295247077941895,19.360688002443837,False,0.4875248372554779,0.4608706086874008,0.5667345523834229,0.6931,0.5189529210329056,0.030648335814476013,20.286690467999495,15.907057407835081,0.15324675324675324,True,True,True
heldout,48,48,8.0,128,6,6.618886470794678,6.1125863790512085,7.368757009506226,19.360688002443837,False,0.3182053565979004,0.29163239896297455,0.3655840754508972,0.6931,0.3440545126795769,0.018776370212435722,19.237900468868276,16.94711773349839,0.31990326095622823,True,True,True
heldout,48,48,16.0,16,6,15.456379175186157,13.606355428695679,16.95992398262024,19.360688002443837,False,0.668771892786026,0.5872139632701874,0.6833334863185883,0.6931,0.26977614872157574,0.011869686655700207,57.29334949895076,56.34284309138524,0.03225806451612903,True,True,True
heldout,48,48,16.0,32,6,13.889795780181885,12.498657941818237,15.868419885635376,19.360688002443837,False,0.6281233131885529,0.551236093044281,0.6817760765552521,0.6931,0.1322288066148758,0.00600403780117631,105.04364469261782,104.61681521483611,0.05792349726775956,True,True,True
heldout,48,48,16.0,64,6,11.734991788864136,9.910312414169312,13.547494649887085,19.360688002443837,False,0.5182682424783707,0.4610236883163452,0.6312958002090454,0.6931,0.009020229685120285,0.0007193416822701693,1300.9637446618578,720.4757561702371,0.12289342054636399,True,True,True
heldout,48,48,16.0,128,6,7.60600471496582,5.702956557273865,9.585507869720459,19.360688002443837,False,0.3441593647003174,0.2608007341623306,0.4865673929452896,0.6931,0.008769250940531492,0.0010845656506717205,867.3494197561224,317.32460315995064,0.3101570680628273,True,True,True
