preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
am_nobeta,42,0,32,16,256,0.47095787525177,0.48132407665252686,-0.36741405725479126,0.36564818024635315,0.1473439335823059,0.46813473105430603,0.36564818024635315,0.0,0.0,0.0,0,2.081413984298706,0.8262818455696106,1.8092570304870605,1.6868731547285059,0.004341512452811003,16,2.0794415416798357
legacy,42,1,8,16,256,1.2730073928833008,1.2600525617599487,-0.8486494421958923,0.8449143171310425,0.41701897978782654,1.1762889623641968,4.02609920501709,2.1601626873016357,0.9967461824417114,3.7737643718719482,0,1.0,1.0437906183824452e-07,0.0026516413781791925,8.5898053689723,9027135488.0,8,3.4657359027997265
legacy_fixed_solver,42,1,8,16,256,1.0552537441253662,1.0261324644088745,-0.7680914998054504,0.7617117762565613,0.5053012371063232,1.51597261428833,0.9994347095489502,-8.556257247924805,-13.815510749816895,-5.007225513458252,3,1.0,1.0437906183824452e-07,0.0026516413781791925,8.5898053689723,1.642942190170288,8,3.4657359027997265
shift,42,1,8,16,256,0.6386563181877136,0.6569367051124573,-0.7133596539497375,0.702959418296814,0.38383349776268005,1.0643799304962158,0.8579879403114319,-8.555436134338379,-13.815510749816895,-5.003712177276611,3,1.0,1.0437906183824452e-07,0.0026516413781791925,8.5898053689723,1.642904281616211,8,3.4657359027997265
am,42,1,8,16,256,0.6457058191299438,0.6352183222770691,-0.7412171959877014,0.717865526676178,0.41298091411590576,0.4904816448688507,0.2487315684556961,-0.6055773496627808,-13.815510749816895,2.184579372406006,1,1.4288642406463623,0.7114567160606384,3.454752206802368,3.074757253496331,0.911274254322052,8,3.4657359027997265
am_over_m,42,1,8,16,256,0.6500896215438843,0.683751106262207,-0.7517141103744507,0.7434731721878052,0.3822513818740845,0.8582996129989624,0.7363800406455994,-0.6055773496627808,-13.815510749816895,2.184579372406006,1,1.4288642406463623,0.7114567160606384,3.454752206802368,3.074757253496331,0.911274254322052,8,3.4657359027997265
am_logfit,42,1,8,16,256,0.6503466963768005,0.6430020928382874,-0.7224929928779602,0.7213935852050781,0.4073472321033478,0.4425756335258484,0.28263938426971436,-0.2087172418832779,-11.23352336883545,2.1433017253875732,0,1.4288642406463623,0.7114567160606384,3.454752206802368,3.074757253496331,0.04167830944061279,8,3.4657359027997265
am_scalar,42,1,8,16,256,0.6502276659011841,0.6866194605827332,-0.747504472732544,0.7452425956726074,0.3807007074356079,0.466812402009964,0.2409687042236328,1.2356456518173218,1.2356456518173218,1.2356456518173218,0,1.4288642406463623,0.7114567160606384,3.454752206802368,3.074757253496331,0.13555637001991272,8,3.4657359027997265
am_nobeta,42,1,8,16,256,0.6502277255058289,0.6866194605827332,-0.7475044131278992,0.7452424764633179,0.3807007074356079,0.8654665350914001,0.7503867149353027,0.0,0.0,0.0,0,1.4288642406463623,0.7114567160606384,3.454752206802368,3.074757253496331,0.911274254322052,8,3.4657359027997265
legacy,42,1,16,16,256,1.3491365909576416,1.428171157836914,-0.8282942175865173,0.8273277282714844,0.3439536690711975,1.3519140481948853,4.470527172088623,1.7547998428344727,0.9967457056045532,3.7737648487091064,0,1.0,1.0437906183824452e-07,0.001876571448519826,6.368070558962428,9551788032.0,16,2.772588722239781
