focus_strength,budget,nominal_compression_ratio,M,value_regression_underdetermined,eps_out_full_median,eps_out_full_ci_lower,eps_out_full_ci_upper,eps_mass_abscommon_full_median,eps_out_no_beta_median,eps_out_no_beta_ci_lower,eps_out_no_beta_ci_upper,eps_mass_abscommon_no_beta_median,eps_out_no_value_median,eps_out_no_value_ci_lower,eps_out_no_value_ci_upper,eps_mass_abscommon_no_value_median,eps_out_no_both_median,eps_out_no_both_ci_lower,eps_out_no_both_ci_upper,eps_mass_abscommon_no_both_median,beta_contribution,value_regression_contribution
0.0,16,0.0625,32,False,0.658964216709137,0.5427502863109112,0.7069519758224487,0.27639132738113403,0.8389138579368591,0.7393955886363983,0.930648684501648,0.925677627325058,5.151878356933594,4.6446332931518555,5.509941101074219,0.27639132738113403,4.091162204742432,3.8672837018966675,4.353437662124634,0.925677627325058,0.17994964122772217,4.492914140224457
0.0,32,0.125,32,False,0.4343608021736145,0.3639790117740631,0.5239885449409485,0.08780495449900627,0.9319541156291962,0.8229496479034424,1.03084135055542,0.8442542552947998,3.6981632709503174,3.3866578340530396,4.267394781112671,0.08780495449900627,2.656907558441162,2.4476312398910522,2.8810477256774902,0.8442542552947998,0.49759331345558167,3.263802468776703
0.0,64,0.25,32,True,0.1714404970407486,0.11010251194238663,0.22495989501476288,0.018409174866974354,0.6355284750461578,0.558815062046051,0.7810947895050049,0.6959702372550964,2.4426947832107544,2.0970773696899414,2.6286797523498535,0.018409174866974354,1.6793500781059265,1.598500418663025,1.7672523260116577,0.6959702372550964,0.46408797800540924,2.271254286170006
0.0,128,0.5,32,True,0.1063021719455719,0.07990537583827972,0.13767066597938538,0.0026479028165340424,0.2870577275753021,0.2607855498790741,0.3877675235271454,0.4265678972005844,1.11827552318573,1.0122985541820526,1.2057066559791565,0.0026479028165340424,0.8840842843055725,0.8227483242750168,0.964726984500885,0.4265678972005844,0.18075555562973022,1.011973351240158
8.0,16,0.0625,32,False,0.29213106632232666,0.23382450733333826,0.3647744804620743,0.11897841840982437,1.3989569544792175,1.3189386412501336,1.475185513496399,0.6340887248516083,1.7955843806266785,1.6638051271438599,1.929200530052185,0.11897841840982437,1.3294074535369873,1.204195499420166,1.51030695438385,0.6340887248516083,1.1068258881568909,1.5034533143043518
8.0,32,0.125,32,False,0.1208837442100048,0.0961233600974083,0.21545375883579254,0.04449991323053837,0.4805426299571991,0.44031834602355957,0.5314876437187195,0.47092078626155853,1.0447359085083008,0.9230120286345482,1.148318214714527,0.04449991323053837,0.7167109847068787,0.6916837476193904,0.8016063436865802,0.47092078626155853,0.3596588857471943,0.923852164298296
8.0,64,0.25,32,True,0.06778702884912491,0.05491809998638928,0.08681895583868027,0.017579685896635056,0.41761060059070587,0.37954986095428467,0.4481286108493805,0.2807886451482773,0.5509602725505829,0.48835756480693815,0.6363807320594788,0.017579685896635056,0.3572544604539871,0.31014031171798706,0.40498384833335876,0.2807886451482773,0.34982357174158096,0.483173243701458
8.0,128,0.5,32,True,0.07087861374020576,0.05739881172776222,0.08600315451622009,0.005585828563198447,0.16348029673099518,0.14467094093561172,0.21411915440112347,0.10221216455101967,0.2666371017694473,0.2317892476916313,0.2892491966485977,0.005585828563198447,0.13241349160671234,0.11105890572071075,0.15267075039446354,0.10221216455101967,0.09260168299078941,0.19575848802924156
