seed,dest,M,B,L_s,nominal_ratio,retained_mass_fraction,rel_err,mix_err,abs_mass_err,rel_err_oracle,mix_err_oracle,gap_rel,gap_mix,cond_xtx,numeric_rank,rank_upper_bound,beta_mean,beta_clamped
42,0,4,8,128,0.0625,0.40862247347831726,0.5987161993980408,0.5006031394004822,0.1575339287519455,0.35804522037506104,0.3169122338294983,0.16785430908203125,0.13571211695671082,7698.50927734375,8,4,-0.17120809853076935,0
42,0,4,16,128,0.125,0.5816568732261658,0.5742671489715576,0.46610450744628906,0.16786332428455353,0.19634060561656952,0.1899903267621994,0.30831730365753174,0.25973308086395264,5546.39208984375,16,4,0.1099991723895073,0
42,0,4,32,128,0.25,0.7302449941635132,0.5588881373405457,0.4631616473197937,0.18733522295951843,0.15227727591991425,0.16499410569667816,0.3528132736682892,0.2795855402946472,5981.00732421875,32,4,-0.5304399132728577,0
42,0,8,8,128,0.0625,0.41668403148651123,0.5262693166732788,0.45818111300468445,0.12471290677785873,0.3666391968727112,0.27958977222442627,0.20298266410827637,0.16710948944091797,6023.81103515625,7,8,-0.915132462978363,1
42,0,8,16,128,0.125,0.5503031611442566,0.505641520023346,0.43260055780410767,0.1082410141825676,0.20610572397708893,0.18869495391845703,0.2367071956396103,0.21821126341819763,4241.20068359375,16,8,0.17192308604717255,0
42,0,8,32,128,0.25,0.7366354465484619,0.45083093643188477,0.40969544649124146,0.09068708121776581,0.1350788176059723,0.12982067465782166,0.27514582872390747,0.2618749737739563,3920.549072265625,32,8,-0.29337024688720703,0
42,0,16,8,128,0.0625,0.4529828429222107,0.5052677989006042,0.43629446625709534,0.18525877594947815,0.29842761158943176,0.2600596845149994,0.17426806688308716,0.15878039598464966,119.91989135742188,8,8,0.8541277647018433,0
42,0,16,16,128,0.125,0.5686814188957214,0.5520083904266357,0.4671565890312195,0.10395961999893188,0.1928347945213318,0.19280041754245758,0.26755911111831665,0.2577919363975525,2998.85400390625,14,16,-1.2256386280059814,2
42,0,16,32,128,0.25,0.7462637424468994,0.40726685523986816,0.3893865942955017,0.0977538675069809,0.11977612227201462,0.11427821218967438,0.2671647071838379,0.2411300390958786,2817.09375,29,16,-1.0935213565826416,3
42,1,4,8,128,0.0625,0.31966081261634827,0.8143115043640137,0.6866351366043091,0.43026459217071533,0.6215063333511353,0.5668131709098816,0.17370420694351196,0.10649490356445312,11696.46484375,3,4,-7.977331161499023,5
42,1,4,16,128,0.125,0.5405530333518982,0.7278109788894653,0.6248224973678589,0.1475081443786621,0.28442102670669556,0.24159353971481323,0.396149218082428,0.35948264598846436,3141.67724609375,16,4,0.050915516912937164,0
42,1,4,32,128,0.25,0.7064522504806519,0.7058623433113098,0.6216293573379517,0.08189435303211212,0.1474875509738922,0.14766977727413177,0.566324770450592,0.4481055438518524,2411.361572265625,32,4,-0.19617563486099243,0
42,1,8,8,128,0.0625,0.3751930296421051,0.6567625999450684,0.5791422128677368,0.34628739953041077,0.5465120077133179,0.49752894043922424,0.09591859579086304,0.07377314567565918,11333.06640625,5,8,-4.964123249053955,3
42,1,8,16,128,0.125,0.529866099357605,0.5849976539611816,0.4828830361366272,0.15441058576107025,0.23021526634693146,0.20413005352020264,0.32580530643463135,0.23856861889362335,2186.341064453125,16,8,0.5191812515258789,0
42,1,8,32,128,0.25,0.7269907593727112,0.54508376121521,0.47355806827545166,0.09057558327913284,0.1135772094130516,0.11300778388977051,0.43158185482025146,0.3255258798599243,2045.1846923828125,32,8,0.05910953879356384,0
42,1,16,8,128,0.0625,0.38787388801574707,0.600500762462616,0.5097792744636536,0.23301738500595093,0.4529202878475189,0.3953256905078888,0.15117311477661133,0.08495345711708069,6459.36474609375,7,8,-0.9762191772460938,1
42,1,16,16,128,0.125,0.5679683685302734,0.513418972492218,0.43927839398384094,0.19305375218391418,0.23139508068561554,0.2238903045654297,0.2967580258846283,0.2571060359477997,2782.94580078125,15,16,-0.2793697416782379,1
42,1,16,32,128,0.25,0.743798553943634,0.37203696370124817,0.32842791080474854,0.0714287981390953,0.06588142365217209,0.07038898020982742,0.2990639805793762,0.24685843288898468,1757.61376953125,32,16,0.2479587197303772,0
43,0,4,8,128,0.0625,0.3896791636943817,0.6998242735862732,0.5478160381317139,0.2430761456489563,0.35874709486961365,0.3047192096710205,0.33629414439201355,0.1873026341199875,169.26324462890625,8,4,0.6982059478759766,0
43,0,4,16,128,0.125,0.5173972845077515,0.7227111458778381,0.5133786201477051,0.2248331755399704,0.23141683638095856,0.2223125398159027,0.42514947056770325,0.2659502327442169,2543.330078125,16,4,0.24736204743385315,0
43,0,4,32,128,0.25,0.7239493131637573,0.6915791630744934,0.4950399398803711,0.21950078010559082,0.16028037667274475,0.17012426257133484,0.4986876845359802,0.31783366203308105,4368.03515625,32,4,-0.5249171257019043,0
43,0,8,8,128,0.0625,0.39172473549842834,0.5551124215126038,0.42483678460121155,0.26362505555152893,0.42138659954071045,0.34014928340911865,0.17298564314842224,0.11421027779579163,7001.15673828125,7,8,-1.2247685194015503,1
43,0,8,16,128,0.125,0.5393736958503723,0.5201759338378906,0.4199330508708954,0.18122830986976624,0.24182911217212677,0.21185564994812012,0.26382410526275635,0.1748979687690735,4166.80126953125,15,8,-0.3692174255847931,1
43,0,8,32,128,0.25,0.7381179332733154,0.47771698236465454,0.3810572028160095,0.144377663731575,0.0994245633482933,0.10296199470758438,0.34895312786102295,0.24730700254440308,3605.210205078125,31,8,-0.47912997007369995,1
43,0,16,8,128,0.0625,0.39565759897232056,0.4178331196308136,0.3814968764781952,0.19509778916835785,0.3294576108455658,0.28572264313697815,0.10940402746200562,0.07170358300209045,29.145151138305664,8,8,0.8972024917602539,0
43,0,16,16,128,0.125,0.574539065361023,0.4848463833332062,0.3623640239238739,0.12265733629465103,0.2566273510456085,0.21805354952812195,0.200595423579216,0.14498335123062134,4101.91943359375,15,16,-0.6419758796691895,1
43,0,16,32,128,0.25,0.7438848614692688,0.36320221424102783,0.29018184542655945,0.10795482248067856,0.10097964853048325,0.08618708699941635,0.26825618743896484,0.21971596777439117,2703.185791015625,32,16,0.09565866738557816,0
43,1,4,8,128,0.0625,0.20661349594593048,0.8890696167945862,0.6328089237213135,0.3508053123950958,0.5758394002914429,0.47498080134391785,0.2963193655014038,0.08366143703460693,7350.8798828125,8,4,0.5643474459648132,0
43,1,4,16,128,0.125,0.4637262523174286,0.8500010967254639,0.4921726584434509,0.2316257208585739,0.3253018260002136,0.20406141877174377,0.4896929860115051,0.23529556393623352,1479.447265625,16,4,0.5491760969161987,0
43,1,4,32,128,0.25,0.6493455171585083,0.8359159231185913,0.4983651041984558,0.1612406224012375,0.13535334169864655,0.10849770903587341,0.6539648175239563,0.3440953195095062,1931.590576171875,32,4,0.03778689727187157,0
43,1,8,8,128,0.0625,0.22802159190177917,1.013878583908081,0.724856436252594,0.33421793580055237,0.605058491230011,0.45706069469451904,0.4732011556625366,0.19678497314453125,7724.6689453125,5,8,-4.350597381591797,3
43,1,8,16,128,0.125,0.44503116607666016,0.8328485488891602,0.5205956697463989,0.20622530579566956,0.34622669219970703,0.2588028907775879,0.40411272644996643,0.20787203311920166,3547.229736328125,13,8,-2.0810365676879883,3
43,1,8,32,128,0.25,0.6435849666595459,0.7189553380012512,0.43543511629104614,0.14934980869293213,0.12976345419883728,0.11076393723487854,0.6001878976821899,0.2864626944065094,1819.9569091796875,32,8,0.18765757977962494,0
43,1,16,8,128,0.0625,0.31237977743148804,0.6124004125595093,0.36716097593307495,0.2601184844970703,0.5385315418243408,0.32206693291664124,0.10582029819488525,0.034908413887023926,791.3890991210938,8,8,0.8422785997390747,0
43,1,16,16,128,0.125,0.46637001633644104,1.0097888708114624,0.6056621670722961,0.24242280423641205,0.36595049500465393,0.2663111984729767,0.5575767755508423,0.2769777476787567,3175.628662109375,14,16,-1.0435925722122192,2
43,1,16,32,128,0.25,0.6604139804840088,0.5961731672286987,0.3785073161125183,0.10760723799467087,0.116449274122715,0.09284079074859619,0.4435732960700989,0.2770523726940155,1529.7337646484375,31,16,-0.11720705777406693,1
