world_size,chunk_size,L_total,budget,max_abs_diff_compressed,rel_diff_compressed,within_repo_threshold_1e-2,max_abs_diff_budget_eq_chunk,max_abs_diff_no_compression_isolated,rel_diff_no_compression_isolated,merge_path_correct,gap_from_compaction_pipeline
2,64,128,16,0.8134599924087524,0.6055492162704468,False,0.28315025568008423,2.980232238769531e-07,3.3894960438374255e-07,True,True
4,64,256,16,0.5920891761779785,0.8592522740364075,False,0.34957343339920044,3.2782554626464844e-07,4.149202936787333e-07,True,True
