spec,family,seed,dest,M,budget,L_s,lam,eval_out_err_median,eval_abs_mass_median,eval_mixture_median,fit_abs_mass_median,beta_mean,beta_std,beta_min,beta_max,beta_span,n_beta_le_m3,n_beta_at_clamp,at_box_lower,at_box_upper,box_bind_rate,clamp_rate,rank_G_numeric,solver_residual,solver_lambda_eff,x_eff_budget_frac,x_eff_loss,v_fit_resid_rel,beta_ideal_mass_preserving
box_lam1e2,箱+λ,42,0,8,8,256,100.0,1.2474874258041382,0.6346114873886108,1.1272404193878174,0.7106812596321106,0.10000823438167572,0.015925638377666473,0.08027347177267075,0.11992491781711578,0.03965144604444504,0,0,0,0,0.0,0.0,8,180.7421875,90.36656618118286,0.9560698866844177,0.043930113315582275,0.08551434836217768,3.4657359027997265
box_lam1e3,箱+λ,42,0,8,8,256,1000.0,1.2545069456100464,0.6669149398803711,1.1253458261489868,0.7349849343299866,0.010936388745903969,0.0018119091400876641,0.008647731505334377,0.013167215511202812,0.004519484005868435,0,0,0,0,0.0,0.0,8,195.77688598632812,903.6656618118286,0.958615779876709,0.041384220123291016,0.08451193880211581,3.4657359027997265
nobox_lam1em3,无箱互校,42,0,8,8,256,0.001,0.719307005405426,0.5560253262519836,0.6886907815933228,0.24753935635089874,-2.4020304679870605,7.05698299407959,-13.815510749816895,2.0277726650238037,15.843283414840698,2,2,2,0,0.25,0.25,8,5.974092483520508,0.0009036656618118286,0.6730940341949463,0.3269059658050537,0.30770956207598105,3.4657359027997265
nobox_lam1em1,无箱互校,42,0,8,8,256,0.1,1.1697169542312622,0.37254276871681213,1.098137378692627,0.22683194279670715,-0.5873661041259766,5.352643966674805,-13.815510749816895,1.6527681350708008,15.468278884887695,1,1,1,0,0.125,0.125,8,6.763420581817627,0.09036656618118287,0.7998297810554504,0.20017021894454956,0.23690384060515243,3.4657359027997265
scalar,参照,42,0,8,8,256,0.001,1.25538969039917,0.3902040421962738,1.2034986019134521,0.19750221073627472,1.3750081062316895,0.0,1.3750081062316895,1.3750081062316895,0.0,0,0,0,0,0.0,0.0,8,0.07994602620601654,0.0,0.9589314460754395,0.04106855392456055,0.08438864304105394,3.4657359027997265
nobeta,参照,42,0,8,8,256,0.001,1.2553926706314087,0.6706821918487549,1.1250152587890625,0.7378218173980713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8,5.974092483520508,0.0009036656618118286,0.9589312076568604,0.04106879234313965,0.08438818482187324,3.4657359027997265
box_lam1em3,箱+λ,42,0,8,16,256,0.001,0.6632948517799377,0.27437201142311096,0.6284583210945129,0.2075524926185608,0.5502023696899414,1.1691696643829346,-3.0,1.7680686712265015,4.7680686712265015,1,0,1,0,0.0625,0.0,8,0.0001429937401553616,0.000547247052192688,0.7465552091598511,0.2534447908401489,0.018688089368463216,2.772588722239781
box_lam3em3,箱+λ,42,0,8,16,256,0.003,0.6609552502632141,0.2691388726234436,0.628693163394928,0.2010715901851654,0.5928220152854919,1.1189959049224854,-3.0,1.7623512744903564,4.7623512744903564,1,0,1,0,0.0625,0.0,8,0.0012519564479589462,0.001641741156578064,0.7615001201629639,0.23849987983703613,0.01829909463545504,2.772588722239781
box_lam1em2,箱+λ,42,0,8,16,256,0.01,0.6578875780105591,0.25703364610671997,0.6266730427742004,0.19372457265853882,0.6368764638900757,1.0786820650100708,-3.0,1.733081579208374,4.733081579208374,1,0,1,0,0.0625,0.0,8,0.012683404609560966,0.00547247052192688,0.7829145789146423,0.21708542108535767,0.017670947191705807,2.772588722239781
box_lam3em2,箱+λ,42,0,8,16,256,0.03,0.661799967288971,0.24725750088691711,0.6284847259521484,0.19298143684864044,0.6482195854187012,1.058141827583313,-3.0,1.6396218538284302,4.63962185382843,1,0,1,0,0.0625,0.0,8,0.08975549042224884,0.016417411565780637,0.7920583486557007,0.20794165134429932,0.01741781154565027,2.772588722239781
box_lam1em1,箱+λ,42,0,8,16,256,0.1,0.6608189344406128,0.2201555222272873,0.6250690817832947,0.1636095941066742,0.7555830478668213,0.5842015147209167,-1.0188672542572021,1.4208295345306396,2.439696788787842,0,0,0,0,0.0,0.0,8,0.5580939054489136,0.0547247052192688,0.8147767782211304,0.18522322177886963,0.01827869228142883,2.772588722239781
box_lam3em1,箱+λ,42,0,8,16,256,0.3,0.6427186131477356,0.1994141787290573,0.5962634682655334,0.16873206198215485,0.7745265960693359,0.3129388988018036,0.1450936496257782,1.2639257907867432,1.118832141160965,0,0,0,0,0.0,0.0,8,1.9643858671188354,0.1641741156578064,0.8375053405761719,0.16249465942382812,0.01974708754727937,2.772588722239781
box_lam1e0,箱+λ,42,0,8,16,256,1.0,0.6373848915100098,0.16943933069705963,0.5826285481452942,0.14978551864624023,0.7153679728507996,0.20785634219646454,0.33419060707092285,1.1471832990646362,0.8129926919937134,0,0,0,0,0.0,0.0,8,5.149456024169922,0.547247052192688,0.8427166938781738,0.15728330612182617,0.020389441235690635,2.772588722239781
box_lam3e0,箱+λ,42,0,8,16,256,3.0,0.6493560671806335,0.15650534629821777,0.5953457951545715,0.17380690574645996,0.6119184494018555,0.18506872653961182,0.2948415279388428,0.9682977199554443,0.6734561920166016,0,0,0,0,0.0,0.0,8,12.9564208984375,1.641741156578064,0.848503053188324,0.15149694681167603,0.020283857966059478,2.772588722239781
box_lam1e1,箱+λ,42,0,8,16,256,10.0,0.6525461077690125,0.21211247146129608,0.5929470062255859,0.3160969913005829,0.42887645959854126,0.15007583796977997,0.19462017714977264,0.6768393516540527,0.4822191745042801,0,0,0,0,0.0,0.0,8,39.157684326171875,5.47247052192688,0.8662872910499573,0.13371270895004272,0.019333418581427557,2.772588722239781
box_lam3e1,箱+λ,42,0,8,16,256,30.0,0.643808901309967,0.37721651792526245,0.612328052520752,0.44137606024742126,0.23698507249355316,0.09290719032287598,0.09234225749969482,0.38053062558174133,0.2881883680820465,0,0,0,0,0.0,0.0,8,78.17842102050781,16.41741156578064,0.8891078233718872,0.11089217662811279,0.018163692317622392,2.772588722239781
box_lam1e2,箱+λ,42,0,8,16,256,100.0,0.6358015537261963,0.47790929675102234,0.6159889698028564,0.5280970335006714,0.093290314078331,0.0393546037375927,0.032479070127010345,0.15290798246860504,0.1204289123415947,0,0,0,0,0.0,0.0,8,110.49276733398438,54.7247052192688,0.9081474542617798,0.09185254573822021,0.01726298421470212,2.772588722239781
box_lam1e3,箱+λ,42,0,8,16,256,1000.0,0.6300469040870667,0.524977445602417,0.6235545873641968,0.5710341334342957,0.010643738321959972,0.00467313127592206,0.0034961311612278223,0.017692483961582184,0.014196352800354362,0,0,0,0,0.0,0.0,8,129.17984008789062,547.247052192688,0.9196192622184753,0.08038073778152466,0.016742197815000262,2.772588722239781
nobox_lam1em3,无箱互校,42,0,8,16,256,0.001,0.6636714339256287,0.27468976378440857,0.6284839510917664,0.2081785649061203,-0.13338880240917206,3.717339277267456,-13.815510749816895,1.7635689973831177,15.579079747200012,1,1,1,0,0.0625,0.0625,8,0.0001413578720530495,0.000547247052192688,0.7391212582588196,0.2608787417411804,0.018587307249804397,2.772588722239781
nobox_lam1em1,无箱互校,42,0,8,16,256,0.1,0.660818874835968,0.22015559673309326,0.6250684261322021,0.1636093407869339,0.7555833458900452,0.5842007398605347,-1.018863320350647,1.42082941532135,2.439692735671997,0,0,0,0,0.0,0.0,8,0.5580945014953613,0.0547247052192688,0.8147767782211304,0.18522322177886963,0.018278699531732324,2.772588722239781
scalar,参照,42,0,8,16,256,0.001,0.6292049288749695,0.24131418764591217,0.5805974006652832,0.16712351143360138,0.9399146437644958,6.155941179031288e-08,0.9399145841598511,0.9399145841598511,0.0,0,0,0,0,0.0,0.0,8,0.021605808287858963,0.0,0.9211140275001526,0.07888597249984741,0.016675104956546907,2.772588722239781
nobeta,参照,42,0,8,16,256,0.001,0.6292060613632202,0.5307404398918152,0.6259179711341858,0.5749900937080383,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8,0.0001413578720530495,0.000547247052192688,0.9211137890815735,0.07888621091842651,0.01667513975800367,2.772588722239781
box_lam1em3,箱+λ,42,0,8,32,256,0.001,0.6515774726867676,0.19322209060192108,0.6088132858276367,0.14928993582725525,-0.04969199746847153,1.2504938840866089,-3.0,1.444776177406311,4.444776177406311,2,0,2,0,0.0625,0.0,8,2.0449229850783013e-05,0.0003318459689617157,0.5802167654037476,0.41978323459625244,0.02511093312356203,2.0794415416798357
box_lam3em3,箱+λ,42,0,8,32,256,0.003,0.6512700915336609,0.18585608899593353,0.6071347594261169,0.14195962250232697,0.028621990233659744,1.1459336280822754,-3.0,1.4361450672149658,4.436145067214966,2,0,2,0,0.0625,0.0,8,0.0001820880570448935,0.0009955379068851472,0.5977082848548889,0.4022917151451111,0.025324190650351415,2.0794415416798357
box_lam1em2,箱+λ,42,0,8,32,256,0.01,0.6440426111221313,0.17099137604236603,0.6044694185256958,0.15226396918296814,0.14726512134075165,1.0271517038345337,-3.0,1.4135099649429321,4.413509964942932,2,0,2,0,0.0625,0.0,8,0.0019450169056653976,0.003318459689617157,0.6360793709754944,0.3639206290245056,0.02580539329310889,2.0794415416798357
box_lam3em2,箱+λ,42,0,8,32,256,0.03,0.6288295984268188,0.13267020881175995,0.5981407165527344,0.1476428508758545,0.21782904863357544,0.9741201400756836,-3.0,1.3664045333862305,4.3664045333862305,2,0,2,0,0.0625,0.0,8,0.015736326575279236,0.00995537906885147,0.6675729155540466,0.33242708444595337,0.02611130099816058,2.0794415416798357
box_lam1em1,箱+λ,42,0,8,32,256,0.1,0.62605220079422,0.12003494799137115,0.5899967551231384,0.13054752349853516,0.26919853687286377,0.8238316178321838,-3.0,1.2470729351043701,4.24707293510437,1,0,1,0,0.03125,0.0,8,0.1290232241153717,0.03318459689617157,0.6795129179954529,0.3204870820045471,0.026277080637563593,2.0794415416798357
box_lam3em1,箱+λ,42,0,8,32,256,0.3,0.6263283491134644,0.10783480107784271,0.583899736404419,0.1109916940331459,0.34456777572631836,0.47401636838912964,-0.9469727277755737,1.167606234550476,2.11457896232605,0,0,0,0,0.0,0.0,8,0.6664419174194336,0.0995537906885147,0.7047122120857239,0.2952877879142761,0.02713316747267331,2.0794415416798357
box_lam1e0,箱+λ,42,0,8,32,256,1.0,0.627988874912262,0.12075906246900558,0.5695545077323914,0.08699740469455719,0.3527355194091797,0.27684706449508667,-0.18724821507930756,1.0409317016601562,1.2281799167394638,0,0,0,0,0.0,0.0,8,2.494753122329712,0.3318459689617157,0.7339609265327454,0.26603907346725464,0.02697791817406193,2.0794415416798357
box_lam3e0,箱+λ,42,0,8,32,256,3.0,0.6306054592132568,0.1219983845949173,0.5668594837188721,0.11756803095340729,0.32091373205184937,0.17707909643650055,0.04386933147907257,0.8486586809158325,0.80478934943676,0,0,0,0,0.0,0.0,8,5.718133926391602,0.9955379068851471,0.7587519288063049,0.24124807119369507,0.026187495887617665,2.0794415416798357
box_lam1e1,箱+λ,42,0,8,32,256,10.0,0.6312677264213562,0.13638615608215332,0.5696150064468384,0.190182626247406,0.24801264703273773,0.12326695770025253,0.07838814705610275,0.5976434946060181,0.5192553475499153,0,0,0,0,0.0,0.0,8,12.928213119506836,3.318459689617157,0.7854241728782654,0.21457582712173462,0.025537816492558183,2.0794415416798357
box_lam3e1,箱+λ,42,0,8,32,256,30.0,0.6220511794090271,0.23902493715286255,0.5725938677787781,0.28478407859802246,0.15448448061943054,0.08033447712659836,0.061082951724529266,0.36184927821159363,0.30076632648706436,0,0,0,0,0.0,0.0,8,26.66151237487793,9.955379068851471,0.8119944930076599,0.1880055069923401,0.024884143630335365,2.0794415416798357
box_lam1e2,箱+λ,42,0,8,32,256,100.0,0.6159825921058655,0.326418399810791,0.577725887298584,0.37759843468666077,0.06733796745538712,0.03709255903959274,0.023171834647655487,0.15869393944740295,0.13552210479974747,0,0,0,0,0.0,0.0,8,43.76430130004883,33.18459689617157,0.8363354802131653,0.16366451978683472,0.0242817159131933,2.0794415416798357
box_lam1e3,箱+λ,42,0,8,32,256,1000.0,0.6121453046798706,0.38366517424583435,0.5811648368835449,0.43398019671440125,0.008191331289708614,0.004694669973105192,0.002604427980259061,0.01955738104879856,0.0169529530685395,0,0,0,0,0.0,0.0,8,57.07030487060547,331.8459689617157,0.8532002568244934,0.1467997431755066,0.02387954882880104,2.0794415416798357
nobox_lam1em3,无箱互校,42,0,8,32,256,0.001,0.6514974236488342,0.19795061647891998,0.6091667413711548,0.15273356437683105,-0.7823247909545898,3.6009626388549805,-13.815510749816895,1.4385045766830444,15.254015326499939,3,2,3,0,0.09375,0.0625,8,2.014438359765336e-05,0.0003318459689617157,0.5687152743339539,0.43128472566604614,0.024693588253839823,2.0794415416798357
nobox_lam1em1,无箱互校,42,0,8,32,256,0.1,0.6261857151985168,0.12012100964784622,0.5896307229995728,0.1303335428237915,0.2522033751010895,0.9015941023826599,-3.603705406188965,1.2459404468536377,4.8496458530426025,1,0,1,0,0.03125,0.0,8,0.12850388884544373,0.03318459689617157,0.6780910491943359,0.32190895080566406,0.026224147621829924,2.0794415416798357
scalar,参照,42,0,8,32,256,0.001,0.6116854548454285,0.1271948367357254,0.5605159997940063,0.113470159471035,0.5829563736915588,6.055837786789198e-08,0.5829564332962036,0.5829564332962036,0.0,0,0,0,0,0.0,0.0,8,0.02258218824863434,0.0,0.8555580377578735,0.14444196224212646,0.023824642280456873,2.0794415416798357
nobeta,参照,42,0,8,32,256,0.001,0.611685574054718,0.39125683903694153,0.581759512424469,0.4414120614528656,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8,2.014438359765336e-05,0.0003318459689617157,0.8555578589439392,0.1444421410560608,0.023824659681185252,2.0794415416798357
box_lam1em3,箱+λ,42,0,8,64,256,0.001,0.6522238254547119,0.16327914595603943,0.6071756482124329,0.1395760178565979,-0.26879042387008667,0.7678229212760925,-2.646103858947754,1.079371452331543,3.725475311279297,0,0,0,0,0.0,0.0,8,9.292502909374889e-07,0.00017643217742443085,0.46005263924598694,0.5399473607540131,0.029391492004330666,1.3862943611198906
box_lam3em3,箱+λ,42,0,8,64,256,0.003,0.652060866355896,0.15419647097587585,0.6057931184768677,0.1356520652770996,-0.1901739239692688,0.6602370738983154,-2.1858134269714355,1.0590848922729492,3.2448983192443848,0,0,0,0,0.0,0.0,8,8.330186574312393e-06,0.0005292965322732926,0.481034517288208,0.518965482711792,0.02995051940477021,1.3862943611198906
box_lam1em2,箱+λ,42,0,8,64,256,0.01,0.6431748867034912,0.12735088169574738,0.6019594073295593,0.1245112493634224,-0.032226305454969406,0.47580987215042114,-1.4478373527526855,1.0000624656677246,2.44789981842041,0,0,0,0,0.0,0.0,8,9.163510549115017e-05,0.0017643217742443085,0.5392304062843323,0.4607695937156677,0.03141506910964865,1.3862943611198906
box_lam3em2,箱+λ,42,0,8,64,256,0.03,0.6249443292617798,0.09279788285493851,0.5871191620826721,0.09162316471338272,0.12836121022701263,0.3150503635406494,-0.816379189491272,0.9035698771476746,1.7199490666389465,0,0,0,0,0.0,0.0,8,0.0008013876504264772,0.005292965322732926,0.6247972249984741,0.3752027750015259,0.03329853555004633,1.3862943611198906
box_lam1em1,箱+λ,42,0,8,64,256,0.1,0.6117147207260132,0.07559525221586227,0.5674025416374207,0.07928496599197388,0.19421499967575073,0.24932073056697845,-0.5982699394226074,0.8295413255691528,1.4278112649917603,0,0,0,0,0.0,0.0,8,0.00809238851070404,0.017643217742443085,0.6710801720619202,0.32891982793807983,0.03406765934495279,1.3862943611198906
box_lam3em1,箱+λ,42,0,8,64,256,0.3,0.6070430874824524,0.0793524757027626,0.5628536343574524,0.08205516636371613,0.1911569982767105,0.22095145285129547,-0.4436803162097931,0.773400604724884,1.2170809209346771,0,0,0,0,0.0,0.0,8,0.05716753751039505,0.05292965322732925,0.6745601892471313,0.32543981075286865,0.033807730164525346,1.3862943611198906
box_lam1e0,箱+λ,42,0,8,64,256,1.0,0.6023773550987244,0.08626625686883926,0.5503798723220825,0.06727467477321625,0.17748627066612244,0.1687331348657608,-0.21610809862613678,0.7199026942253113,0.9360107928514481,0,0,0,0,0.0,0.0,8,0.3384263515472412,0.17643217742443085,0.6799052953720093,0.3200947046279907,0.03322927195072751,1.3862943611198906
box_lam3e0,箱+λ,42,0,8,64,256,3.0,0.5967143177986145,0.08695117384195328,0.5511593222618103,0.055694613605737686,0.1546727567911148,0.11927555501461029,-0.04975781589746475,0.6259557604789734,0.6757135763764381,0,0,0,0,0.0,0.0,8,1.0816925764083862,0.5292965322732925,0.6885116696357727,0.3114883303642273,0.032646188043301834,1.3862943611198906
box_lam1e1,箱+λ,42,0,8,64,256,10.0,0.5996662378311157,0.0880245715379715,0.5495309829711914,0.09259109944105148,0.12085279822349548,0.08662869781255722,0.030760908499360085,0.469086229801178,0.4383253213018179,0,0,0,0,0.0,0.0,8,2.703566074371338,1.7643217742443085,0.7030028700828552,0.2969971299171448,0.03224633380572349,1.3862943611198906
box_lam3e1,箱+λ,42,0,8,64,256,30.0,0.6012619733810425,0.14128157496452332,0.5497637391090393,0.14060407876968384,0.08268123865127563,0.06300992518663406,0.019745223224163055,0.3099636435508728,0.29021842032670975,0,0,0,0,0.0,0.0,8,5.897778511047363,5.292965322732925,0.7220813035964966,0.2779186964035034,0.03204932855924155,1.3862943611198906
box_lam1e2,箱+λ,42,0,8,64,256,100.0,0.6002671718597412,0.20167265832424164,0.5506969690322876,0.20326495170593262,0.04114649444818497,0.03356179967522621,0.00838722288608551,0.15333563089370728,0.14494840800762177,0,0,0,0,0.0,0.0,8,11.80236530303955,17.643217742443085,0.7449629902839661,0.25503700971603394,0.03192600669708711,1.3862943611198906
box_lam1e3,箱+λ,42,0,8,64,256,1000.0,0.597055971622467,0.25147709250450134,0.5492557287216187,0.2528791129589081,0.005598565563559532,0.004788259044289589,0.001039441442117095,0.0210800189524889,0.020040577510371804,0,0,0,0,0.0,0.0,8,18.844280242919922,176.43217742443085,0.7656962871551514,0.23430371284484863,0.031870202561170645,1.3862943611198906
nobox_lam1em3,无箱互校,42,0,8,64,256,0.001,0.6518309116363525,0.16493631899356842,0.607712984085083,0.1399601846933365,-0.3394833505153656,0.9125672578811646,-3.759246826171875,1.0913726091384888,4.850619435310364,2,0,2,0,0.03125,0.0,8,9.311495432484662e-07,0.00017643217742443085,0.4480154812335968,0.5519845187664032,0.02901867269841292,1.3862943611198906
nobox_lam1em1,无箱互校,42,0,8,64,256,0.1,0.611727774143219,0.07565311342477798,0.5674262642860413,0.07927247136831284,0.19412147998809814,0.24938587844371796,-0.5982840061187744,0.8296255469322205,1.4279095530509949,0,0,0,0,0.0,0.0,8,0.008092526346445084,0.017643217742443085,0.6710126399993896,0.32898736000061035,0.03406643259360196,1.3862943611198906
scalar,参照,42,0,8,64,256,0.001,0.5968472361564636,0.05442740023136139,0.5511273145675659,0.08124018460512161,0.30018213391304016,0.0,0.30018213391304016,0.30018213391304016,0.0,0,0,0,0,0.0,0.0,8,0.00594317028298974,0.0,0.7690348625183105,0.23096513748168945,0.03186597708429556,1.3862943611198906
nobeta,参照,42,0,8,64,256,0.001,0.5968472361564636,0.2593781054019928,0.5497336983680725,0.2603902816772461,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8,9.311495432484662e-07,0.00017643217742443085,0.7690348625183105,0.23096513748168945,0.03186601478587372,1.3862943611198906
box_lam1em3,箱+λ,42,0,16,8,256,0.001,0.5758311152458191,0.22737334668636322,0.5386651754379272,0.24678421020507812,0.47619178891181946,1.769936442375183,-3.0,2.121955156326294,5.121955156326294,1,0,1,0,0.125,0.0,8,22.979066848754883,0.0013467671871185303,0.7170237302780151,0.28297626972198486,0.4600530798713137,3.4657359027997265
box_lam3em3,箱+λ,42,0,16,8,256,0.003,0.5758160352706909,0.22491662204265594,0.5389094948768616,0.24771183729171753,0.4899294972419739,1.7506417036056519,-3.0,2.1200742721557617,5.120074272155762,1,0,1,0,0.125,0.0,8,22.981319427490234,0.004040301561355591,0.7190909385681152,0.28090906143188477,0.45814676530439696,3.4657359027997265
box_lam1em2,箱+λ,42,0,16,8,256,0.01,0.5769221186637878,0.216628298163414,0.5410329699516296,0.2504308521747589,0.5250645875930786,1.7031115293502808,-3.0,2.1134462356567383,5.113446235656738,1,0,1,0,0.125,0.0,8,23.00430679321289,0.013467671871185303,0.7252814769744873,0.2747185230255127,0.45356836415319846,3.4657359027997265
box_lam3em2,箱+λ,42,0,16,8,256,0.03,0.5846256017684937,0.21522825956344604,0.5377596020698547,0.252803236246109,0.5760020017623901,1.6374053955078125,-3.0,2.0943872928619385,5.0943872928619385,1,0,1,0,0.125,0.0,8,23.15983772277832,0.04040301561355591,0.7373500466346741,0.2626499533653259,0.44914671738739853,3.4657359027997265
