preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
shift,42,0,16,16,256,0.5183835625648499,0.597708523273468,-0.45156794786453247,0.4512118995189667,0.2264660894870758,0.6570563912391663,0.7543356418609619,-9.721857070922852,-13.815510749816895,-2.210570812225342,9,1.0,9.610960205463925e-08,0.0021196086890995502,4.216947101100834,236.82278442382812,16,2.772588722239781
am,42,0,16,16,256,0.5145196318626404,0.5767985582351685,-0.5360651016235352,0.5267941355705261,0.2542678713798523,0.48108822107315063,0.17928288877010345,-0.9288438558578491,-13.815510749816895,1.7386295795440674,2,5.454752445220947,1.8992818593978882,2.3778364658355713,1.747662585969477,1.9388000965118408,16,2.772588722239781
am_over_m,42,0,16,16,256,0.4856835603713989,0.591770350933075,-0.5201388001441956,0.5190846920013428,0.22354961931705475,0.5276146531105042,0.5082476735115051,-0.9288438558578491,-13.815510749816895,1.7386295795440674,2,5.454752445220947,1.8992818593978882,2.3778364658355713,1.747662585969477,1.9388000965118408,16,2.772588722239781
am_logfit,42,0,16,16,256,0.5167334675788879,0.5947157740592957,-0.5211033821105957,0.5025317072868347,0.23668450117111206,0.4921342730522156,0.18426626920700073,0.6343852281570435,-2.6484010219573975,1.678525686264038,0,5.454752445220947,1.8992818593978882,2.3778364658355713,1.747662585969477,0.010292064398527145,16,2.772588722239781
am_scalar,42,0,16,16,256,0.5215556025505066,0.609613299369812,-0.5082812309265137,0.5013551712036133,0.22032764554023743,0.4667108356952667,0.2500455677509308,0.919041097164154,0.9190410375595093,0.9190410375595093,0,5.454752445220947,1.8992818593978882,2.3778364658355713,1.747662585969477,0.04021184518933296,16,2.772588722239781
am_nobeta,42,0,16,16,256,0.521554708480835,0.6096125245094299,-0.5082812309265137,0.5013551712036133,0.22032758593559265,0.5419124960899353,0.5082812309265137,0.0,0.0,0.0,0,5.454752445220947,1.8992818593978882,2.3778364658355713,1.747662585969477,1.9388000965118408,16,2.772588722239781
legacy,42,0,32,16,256,0.8693984746932983,0.8654354214668274,-0.45942363142967224,0.45942363142967224,0.29282450675964355,1.2887120246887207,0.9986643195152283,-8.857516288757324,-13.815510749816895,-4.5870442390441895,12,1.0,9.610960205463925e-08,0.001364626339636743,3.782567047222921,7.782724380493164,16,2.0794415416798357
legacy_fixed_solver,42,0,32,16,256,1.0790188312530518,1.0565261840820312,-0.5942929983139038,0.590467631816864,0.379719078540802,1.29231595993042,0.999070405960083,-10.996360778808594,-13.815510749816895,-4.36879301071167,21,1.0,9.610960205463925e-08,0.001364626339636743,3.782567047222921,0.12170735001564026,16,2.0794415416798357
shift,42,0,32,16,256,0.4229116141796112,0.4713110625743866,-0.3110853433609009,0.30788907408714294,0.15278489887714386,0.6337076425552368,0.7036568522453308,-11.41011905670166,-13.815510749816895,-1.8551753759384155,24,1.0,9.610960205463925e-08,0.001364626339636743,3.782567047222921,281.27410888671875,16,2.0794415416798357
am,42,0,32,16,256,0.46965208649635315,0.512023389339447,-0.39798426628112793,0.3961484432220459,0.18189312517642975,0.4243108332157135,0.17551612854003906,-0.24986916780471802,-13.815510749816895,1.501366376876831,1,5.454752445220947,1.8992818593978882,1.8181862831115723,1.5747223609082692,0.15383900701999664,16,2.0794415416798357
