dtype,num_blocks,tokens_per_block,num_permutations,err_sequential,err_balanced_tree,err_permuted_max,err_permuted_median,err_permuted_p95,err_random_tree_median,ladder_final_max,ladder_tail_rel_growth,balanced_better_than_seq,max_err_all
float32,2,64,50,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,2.7190705509383406e-07,0.0,True,2.7190705509383406e-07
float32,8,64,50,2.948328301499714e-07,3.116366258382186e-07,3.4510995305936376e-07,3.0758151581267157e-07,3.392534708268613e-07,2.968129138025688e-07,3.593983137761825e-07,0.04140234319570875,False,3.4510995305936376e-07
float32,32,64,50,1.6521049417406175e-07,1.542264271847671e-07,4.354593841071619e-07,1.8744090368727484e-07,3.090223430035621e-07,1.6941145730697826e-07,4.354593841071619e-07,0.0,True,4.354593841071619e-07
float64,2,64,50,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,6.403573269425388e-16,0.0,True,6.403573269425388e-16
float64,8,64,50,5.4989340240052e-16,4.776092232751233e-16,7.289198438220794e-16,5.221019039802758e-16,6.894290415906731e-16,4.684473421880774e-16,7.38376953870476e-16,0.044070583325692116,True,7.289198438220794e-16
float64,32,64,50,3.1964761869108246e-16,2.396703313496683e-16,4.84135705472715e-16,3.330170877685469e-16,4.344106595588679e-16,2.7280615129641627e-16,4.84135705472715e-16,0.0710939262705796,True,4.84135705472715e-16
