focus_strength,budget,nominal_compression_ratio,retained_mass_fraction,retained_over_nominal,eps_mass_abscommon_none_median,eps_mass_signed_none_median,eps_mass_signed_none_ci_lower,eps_mass_signed_none_ci_upper,mass_underestimated_none,eps_out_rel_none_median,eps_mass_abscommon_over_m_median,eps_mass_signed_over_m_median,eps_mass_signed_over_m_ci_lower,eps_mass_signed_over_m_ci_upper,mass_underestimated_over_m,eps_out_rel_over_m_median,eps_mass_abscommon_full_median,eps_mass_signed_full_median,eps_mass_signed_full_ci_lower,eps_mass_signed_full_ci_upper,mass_underestimated_full,eps_out_rel_full_median
0.0,8,0.03125,0.049900762833541036,1.5968244106733132,0.9592877098273347,-0.9592877098273347,-0.9660592449954823,-0.9489876482787306,True,0.6919124972413354,0.9557116182032874,-0.9557116182032874,-0.9633127156661455,-0.9441137916859444,True,0.6913273458451923,0.44926642414810325,-0.43210657531364993,-0.5245930128752849,-0.2494918471693281,True,0.6781320405978708
0.0,16,0.0625,0.09363798344159846,1.4982077350655754,0.907692656018284,-0.907692656018284,-0.9266538698666581,-0.8975564544606125,True,1.1472061260387874,0.9027007578731825,-0.9027007578731825,-0.9221170627899458,-0.8910860875900476,True,1.1051154356169377,0.2555929427033868,-0.21397088043644652,-0.29934422543065226,-0.03482974192177621,True,0.5841494458626101
0.0,32,0.125,0.1722485518369452,1.3779884146955617,0.8365802692429977,-0.8365802692429977,-0.8532878796553166,-0.8085895182939195,True,0.7446907228213508,0.8335081102529897,-0.8335081102529897,-0.8491826973634429,-0.8029474587780939,True,0.7347428984211564,0.12658668842078255,-0.05268251489383987,-0.17439653613537495,0.012121092530912066,False,0.397665070442644
0.0,64,0.25,0.3172382281140144,1.2689529124560577,0.6857367365683339,-0.6857367365683339,-0.6990394291031339,-0.6719847783126431,True,0.6298465530441364,0.6795978894845491,-0.6795978894845491,-0.6943246906321688,-0.6651654576607551,True,0.6139616906246113,0.010165636076063907,-0.0038505849076278698,-0.023261407638059783,0.0010393817475434376,False,0.09056191949354082
0.0,128,0.5,0.5689835856125905,1.137967171225181,0.4311971279228698,-0.4311971279228698,-0.4476354210679301,-0.4157336614802877,True,0.35383761540153735,0.4228082005457861,-0.4228082005457861,-0.43857406790099146,-0.4069923619650756,True,0.3453121216059388,0.002798222906401396,-0.0013847637906365395,-0.003554120334938926,5.105309000550402e-05,False,0.08316101851472368
0.0,256,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,0.17048801527944546,0.00014678069684181098,-0.00014372159615589253,-0.00015482858219574688,-0.00013086254237534178,True,0.16934331129164573,2.6169565110098994e-09,-9.565640168957035e-11,-2.8596215188686554e-09,2.2768113638779503e-10,False,0.14283889518020285
8.0,8,0.03125,0.27462111182381405,8.78787557836205,0.7433564261525274,-0.7433564261525274,-0.7781887451551726,-0.6846809660700581,True,0.6384699906606528,0.7340085668810101,-0.7340085668810101,-0.7698652630628396,-0.6740608897943209,True,0.6290813711799481,0.12973235310205483,-0.08676705737780108,-0.13007460971299617,-0.04577640601150917,True,0.41302686315479054
8.0,16,0.0625,0.39463353581008853,6.3141365729614165,0.6169213357411019,-0.6169213357411019,-0.6484778442115331,-0.5749057702842135,True,1.0302397570716777,0.6077801677083651,-0.6077801677083651,-0.6407492205592021,-0.5672979917885532,True,0.9892804100559045,0.10903156073761583,-0.07649961269872019,-0.1235591737986252,-0.0237210434404778,True,0.335058043711257
8.0,32,0.125,0.5585266286223202,4.468213028978561,0.4465709168899258,-0.4465709168899258,-0.47672000762290806,-0.4181053290450577,True,0.6395665653669491,0.4369507711255255,-0.4369507711255255,-0.46822759006541914,-0.41023294561480783,True,0.6170229735600983,0.07366554531738036,-0.05118803479346312,-0.08575687550715903,0.0038130192197775824,False,0.1121615549215233
8.0,64,0.25,0.7403357141760646,2.9613428567042583,0.2634574527987259,-0.2634574527987259,-0.2834402043090954,-0.24212710028629,True,0.2993906810543777,0.2574090490419923,-0.2574090490419923,-0.2782261798869336,-0.23691814962308214,True,0.2900396058461743,0.023103397585283982,-0.00913073290879252,-0.021802908329988442,0.0074452044295419606,False,0.062240472058472135
8.0,128,0.5,0.9173244870772703,1.8346489741545406,0.08488881966858164,-0.08488881966858164,-0.09341690442172026,-0.07454476886328981,True,0.1757250057438849,0.08319681006475083,-0.08319681006475083,-0.09208255700149903,-0.07292313024449876,True,0.17133179222073225,0.007247819608070794,0.0006003070827276507,-0.0034088947076945475,0.003291394117052702,False,0.06839619516693093
8.0,256,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,0.20662697678758718,0.001728036855150754,-0.001728036855150754,-0.0018421768534440637,-0.0015912101674807823,True,0.20129515050659574,0.003815751047362287,-1.309603064187426e-05,-0.0022352684725053256,0.0022528381491993166,False,0.07236254960717767
