spec,family,seed,dest,M,budget,L_s,lam,eval_out_err_median,eval_abs_mass_median,eval_mixture_median,fit_abs_mass_median,beta_mean,beta_std,beta_min,beta_max,beta_span,n_beta_le_m3,n_beta_at_clamp,at_box_lower,at_box_upper,box_bind_rate,clamp_rate,rank_G_numeric,solver_residual,solver_lambda_eff,x_eff_budget_frac,x_eff_loss,v_fit_resid_rel,beta_ideal_mass_preserving
nobox_lam1em1,无箱互校,42,0,8,8,128,0.1,0.5970282554626465,0.18311627209186554,0.5260982513427734,0.2241774946451187,0.6665611863136292,0.769240140914917,-0.8187353610992432,1.6268343925476074,2.4455697536468506,0,0,0,0,0.0,0.0,8,4.015329360961914,0.07791012525558472,0.7651864290237427,0.23481357097625732,0.17098092327457143,2.772588722239781
scalar,参照,42,0,8,8,128,0.001,0.6326286792755127,0.20177918672561646,0.5246924757957458,0.29349711537361145,0.8989595770835876,6.372004435206691e-08,0.8989595174789429,0.8989595174789429,0.0,0,0,0,0,0.0,0.0,8,0.0730154737830162,0.0,0.8281435966491699,0.17185640335083008,0.14856481625181794,2.772588722239781
nobeta,参照,42,0,8,8,128,0.001,0.632625937461853,0.575680673122406,0.601957380771637,0.573352038860321,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8,1.3185712099075317,0.0007791012525558471,0.8281434774398804,0.17185652256011963,0.14856504789479072,2.772588722239781
box_lam1em3,箱+λ,42,0,8,32,128,0.001,0.39833128452301025,0.105228491127491,0.3790949583053589,0.07198663055896759,-0.009514853358268738,0.7015539407730103,-2.3039979934692383,1.094605565071106,3.3986035585403442,0,0,0,0,0.0,0.0,8,1.0093377568409778e-05,0.0002329961210489273,0.5569087862968445,0.4430912137031555,0.0173863045824425,1.3862943611198906
box_lam3em3,箱+λ,42,0,8,32,128,0.003,0.3967928886413574,0.10038353502750397,0.37510955333709717,0.06293899565935135,0.06762654334306717,0.5475333333015442,-1.558911919593811,1.0740357637405396,2.6329476833343506,0,0,0,0,0.0,0.0,8,8.7984066340141e-05,0.000698988363146782,0.577157735824585,0.42284226417541504,0.017816676543476854,1.3862943611198906
box_lam1em2,箱+λ,42,0,8,32,128,0.01,0.39309316873550415,0.09979316592216492,0.36807945370674133,0.052586283534765244,0.1805921345949173,0.3621167838573456,-0.7404448986053467,1.0156221389770508,1.7560670375823975,0,0,0,0,0.0,0.0,8,0.0008857282809913158,0.0023299612104892733,0.6206589341163635,0.3793410658836365,0.018778083814908347,1.3862943611198906
box_lam3em2,箱+λ,42,0,8,32,128,0.03,0.38975968956947327,0.10549358278512955,0.36392220854759216,0.0411689355969429,0.25044262409210205,0.2549217641353607,-0.2766423225402832,0.9122121334075928,1.188854455947876,0,0,0,0,0.0,0.0,8,0.006203826051205397,0.006989883631467819,0.6564350128173828,0.3435649871826172,0.01951130621221568,1.3862943611198906
box_lam1em1,箱+λ,42,0,8,32,128,0.1,0.3879778981208801,0.10627827048301697,0.3608696758747101,0.03954162448644638,0.2514360547065735,0.19476021826267242,-0.201719269156456,0.729724109172821,0.931443378329277,0,0,0,0,0.0,0.0,8,0.03594021499156952,0.02329961210489273,0.6569325923919678,0.3430674076080322,0.019485291879075106,1.3862943611198906
box_lam3em1,箱+λ,42,0,8,32,128,0.3,0.38575854897499084,0.09175561368465424,0.35743939876556396,0.052073780447244644,0.22711575031280518,0.14299200475215912,-0.05831650272011757,0.5108801126480103,0.5691966153681278,0,0,0,0,0.0,0.0,8,0.11360523849725723,0.06989883631467819,0.6437423825263977,0.3562576174736023,0.019949585057937303,1.3862943611198906
box_lam1e0,箱+λ,42,0,8,32,128,1.0,0.38276439905166626,0.06653615087270737,0.35802164673805237,0.06852971762418747,0.18733221292495728,0.11120348423719406,0.012079538777470589,0.4827170670032501,0.47063752822577953,0,0,0,0,0.0,0.0,8,0.2777748107910156,0.2329961210489273,0.6244580149650574,0.3755419850349426,0.021526957881146485,1.3862943611198906
box_lam3e0,箱+λ,42,0,8,32,128,3.0,0.38466712832450867,0.037474945187568665,0.3609626293182373,0.0824018120765686,0.1478114277124405,0.09995099902153015,0.038648881018161774,0.4911641776561737,0.45251529663801193,0,0,0,0,0.0,0.0,8,0.5739503502845764,0.6989883631467819,0.6116672158241272,0.3883327841758728,0.022936389549083377,1.3862943611198906
box_lam1e1,箱+λ,42,0,8,32,128,10.0,0.3847264349460602,0.0670563131570816,0.36263787746429443,0.10459902882575989,0.1026364117860794,0.08335410803556442,0.030330443754792213,0.42869117856025696,0.39836073480546474,0,0,0,0,0.0,0.0,8,1.4351085424423218,2.329961210489273,0.6148890852928162,0.38511091470718384,0.023311750440561916,1.3862943611198906
nobox_lam1em3,无箱互校,42,0,8,32,128,0.001,0.39982572197914124,0.10707607865333557,0.3804449737071991,0.07374200224876404,-0.04372891038656235,0.7792107462882996,-2.699720859527588,1.0983620882034302,3.798082947731018,0,0,0,0,0.0,0.0,8,1.0090258911077399e-05,0.0002329961210489273,0.5501812696456909,0.4498187303543091,0.017244094411317287,1.3862943611198906
nobox_lam1em1,无箱互校,42,0,8,32,128,0.1,0.38797783851623535,0.10627865046262741,0.36086952686309814,0.039542052894830704,0.25143498182296753,0.19476118683815002,-0.20171737670898438,0.7297248244285583,0.9314422011375427,0,0,0,0,0.0,0.0,8,0.03594027832150459,0.02329961210489273,0.6569322943687439,0.3430677056312561,0.019485318766205875,1.3862943611198906
scalar,参照,42,0,8,32,128,0.001,0.38689830899238586,0.08066216856241226,0.3554089665412903,0.0706275999546051,0.3137038052082062,3.027918893394599e-08,0.31370383501052856,0.31370383501052856,0.0,0,0,0,0,0.0,0.0,8,0.005906045436859131,0.0,0.690285325050354,0.309714674949646,0.02053076486722085,1.3862943611198906
nobeta,参照,42,0,8,32,128,0.001,0.38689810037612915,0.22314731776714325,0.40288153290748596,0.24683259427547455,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8,1.0090258911077399e-05,0.0002329961210489273,0.6902851462364197,0.3097148537635803,0.020530723502404282,1.3862943611198906
box_lam1em3,箱+λ,42,0,16,8,128,0.001,0.4107230603694916,0.1535383015871048,0.38342639803886414,0.1498563587665558,0.7630260586738586,0.59346604347229,-0.19944429397583008,1.5509917736053467,1.7504360675811768,0,0,0,0,0.0,0.0,8,1.8217412233352661,0.0006194544434547424,0.8693789839744568,0.1306210160255432,0.29631710217273227,2.772588722239781
box_lam3em3,箱+λ,42,0,16,8,128,0.003,0.4107249677181244,0.1542409062385559,0.38405171036720276,0.14622831344604492,0.7650686502456665,0.5817887783050537,-0.16380241513252258,1.5485355854034424,1.712338000535965,0,0,0,0,0.0,0.0,8,1.8222178220748901,0.0018583633303642273,0.8708106875419617,0.12918931245803833,0.29626830419789996,2.772588722239781
box_lam1em2,箱+λ,42,0,16,8,128,0.01,0.4107954204082489,0.1546778380870819,0.3855862617492676,0.1419476419687271,0.7690259218215942,0.5504657626152039,-0.0713353231549263,1.5401400327682495,1.6114753559231758,0,0,0,0,0.0,0.0,8,1.826926827430725,0.006194544434547425,0.874243974685669,0.12575602531433105,0.296122255135416,2.772588722239781
box_lam3em2,箱+λ,42,0,16,8,128,0.03,0.4115356504917145,0.15089157223701477,0.387451171875,0.14255480468273163,0.7690336108207703,0.49809032678604126,0.06797660887241364,1.5171037912368774,1.4491271823644638,0,0,0,0,0.0,0.0,8,1.8582297563552856,0.018583633303642273,0.8777850270271301,0.12221497297286987,0.2957941835917223,2.772588722239781
box_lam1em1,箱+λ,42,0,16,8,128,0.1,0.41607847809791565,0.16079320013523102,0.3874715268611908,0.1511542648077011,0.7469897270202637,0.41931232810020447,0.22958257794380188,1.4428826570510864,1.2133000791072845,0,0,0,0,0.0,0.0,8,2.0644407272338867,0.06194544434547425,0.8743000030517578,0.1256999969482422,0.29505296735651554,2.772588722239781
box_lam3em1,箱+λ,42,0,16,8,128,0.3,0.4189836084842682,0.17663651704788208,0.3826403319835663,0.19115126132965088,0.6883906126022339,0.33664873242378235,0.23417693376541138,1.2762720584869385,1.042095124721527,0,0,0,0,0.0,0.0,8,2.8294239044189453,0.18583633303642272,0.8583159446716309,0.14168405532836914,0.29410000584535795,2.772588722239781
