seed,focus_strength,beta_mode,budget,compression_ratio,n_blocks,fixed_length,M,n_eval_queries,n_queries,lhs_median,lhs_mean,rhs_median,rhs_mean,ratio_median,ratio_p5,ratio_min,ratio_max,frac_rhs_ge_lhs,frac_rhs_ge_lhs_tol,frac_at_equality,n_violating,n_violating_strict,rel_tol,lhs_zero_frac,precondition_violation_frac,precondition_margin_median,share_out_median,share_mass_median
42,0.0,none,8,0.03125,2,128,32,48,48,0.566522132476489,0.611697132684536,1.2336124066579208,1.3160381989297492,2.149985915072363,1.8485358299554366,1.8087526142839256,2.558047549252901,1.0,1.0,0.0,0,0,1e-09,0.0,1.0,-4.429629475187664,0.22986503428401872,0.7655159322780122
42,0.0,none,16,0.0625,2,128,32,48,48,0.5290410437682784,0.5695082287152925,1.3946262493575379,1.4262438701447493,2.394959754483174,2.0296018980504282,1.9171738441146928,3.6969427984259555,1.0,1.0,0.0,0,0,1e-09,0.0,1.0,-3.7712667234794566,0.3043535803666241,0.6952756317502958
42,0.0,none,32,0.125,2,128,32,48,48,0.4600803062687316,0.5015006021048265,1.2208826183351293,1.2907224958655925,2.4956900920534513,2.1745101664772544,1.9979804251663658,3.4060281426631884,1.0,1.0,0.0,0,0,1e-09,0.0,1.0,-2.4107428494283596,0.27848873084550585,0.7199097758546962
42,0.0,none,64,0.25,2,128,32,48,48,0.3761257427335186,0.3980731631703612,1.0737576454573339,1.100172963359749,2.7400907014420657,2.3981520833844168,2.1746718941966297,3.6422762188956406,1.0,1.0,0.0,0,0,1e-09,0.0,0.2916666666666667,0.5184333495200768,0.2994413156434101,0.7004822579694747
42,0.0,none,128,0.5,2,128,32,48,48,0.2671082852314523,0.2886059785172197,0.7320870465782252,0.7464861879426611,2.6192469202450455,2.124228991170234,1.9022725912243987,3.3094899124810815,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,6.695338610875968,0.3311178531262765,0.6678712243041257
42,0.0,none,256,1.0,2,128,32,48,48,0.21525459253872176,0.23133624226421656,0.21525459253872162,0.23133624226421654,1.0,0.9999999999999996,0.9999999999999993,1.0000000000000007,0.5208333333333334,1.0,1.0,23,0,1e-09,0.0,0.0,18.462511605903792,1.0,0.0
42,0.0,full,8,0.03125,2,128,32,48,48,0.3315440802473648,0.3461327130613025,0.8401219618501029,0.8858846486258426,2.617453331980951,1.862598724729794,1.0430992474287863,3.602604202530864,1.0,1.0,0.0,0,0,1e-09,0.0,0.041666666666666664,3.5072683007455225,0.3211775334409189,0.6750194519391715
42,0.0,full,16,0.0625,2,128,32,48,48,0.2804946994171462,0.2987940380345835,0.6364249020770392,0.6666824153879057,2.441537262386965,1.376062267875452,1.1462808096792059,3.4014742381714855,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,8.910281730606876,0.3797651921745749,0.5757519390937127
42,0.0,full,32,0.125,2,128,32,48,48,0.3004458795493306,0.31385282965724404,0.5826038480754107,0.6023728336539337,1.9350242416673782,1.0304409624151936,1.0084837054482614,2.8662752480728626,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,11.434406922269705,0.49320370947444653,0.45197558778817576
42,0.0,full,64,0.25,2,128,32,48,48,0.27351774343795887,0.28878014731766033,0.47540873520817084,0.5082085896795797,1.7389967425549533,1.1520553002880947,1.0613921204706271,2.655442604864817,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,12.917894657348896,0.5634879905870659,0.43534446150973877
42,0.0,full,128,0.5,2,128,32,48,48,0.23532067939054208,0.24898868434751334,0.3075341251328582,0.3621385371207649,1.4231200403365178,1.0399241250185205,1.025759715184534,2.3950856928584927,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,15.669493015297281,0.6862699865641199,0.3022325786045993
42,0.0,full,256,1.0,2,128,32,48,48,0.21804861582051888,0.23129454094616833,0.2303373702829824,0.24632659927435596,1.0627037122644039,1.0089539183790142,1.005189819871057,1.1527942791798695,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,18.045924538488574,0.9387191364192511,0.059463758382425375
42,8.0,none,8,0.03125,2,128,32,48,48,0.6530023006297174,0.7322804949812297,2.139946822574212,2.2941647277386727,3.196406523011133,2.5618878239880343,1.929336934276783,4.43181657259508,1.0,1.0,0.0,0,0,1e-09,0.0,0.7083333333333334,-0.3490713190752248,0.2866240645320243,0.7123444426973617
42,8.0,none,16,0.0625,2,128,32,48,48,0.7161446062591554,0.9395007072861095,2.3035091181982743,2.5868825828846016,3.1003348563701656,1.8087568917822643,1.5452925042256553,4.08854233034249,1.0,1.0,0.0,0,0,1e-09,0.0,0.2708333333333333,0.5382827413369871,0.4303693702504969,0.5634893933015017
42,8.0,none,32,0.125,2,128,32,48,48,0.4732010291961688,0.5312453574231757,1.513601342761051,1.5703758983555336,3.1419991718570244,2.2750808099989115,1.747704875130807,3.9797731318955005,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,1.9149596087064165,0.3863128354362393,0.6070420742491967
42,8.0,none,64,0.25,2,128,32,48,48,0.33546823084077465,0.37335457943642325,0.8686933580439329,0.9621748538865944,2.739165741914923,1.8054297975598557,1.5370304946954227,3.7486720933533197,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,3.5592575806845224,0.3664663197030335,0.6299140626861534
42,8.0,none,128,0.5,2,128,32,48,48,0.2527263084477596,0.3031681242956143,0.4300445641138375,0.4863527310998807,1.6623192372648563,1.269708345773871,1.1282599076788202,2.378703839681167,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,5.338186709186758,0.5895614767156389,0.4087259812113938
42,8.0,none,256,1.0,2,128,32,48,48,0.2588591575833595,0.3089078595149151,0.2588591575833594,0.3089078595149152,1.0,0.9999999999999994,0.9999999999999992,1.0000000000000013,0.5625,1.0,1.0,21,0,1e-09,0.0,0.0,6.257671043483332,1.0,0.0
