seed,focus_strength,beta_mode,n_blocks,chunk_len,per_chunk_budget,L_total,M,lhs_median,lhs_mean,sum_abs_dM_over_S_median,net_abs_dM_over_S_median,cancellation_ratio_median,S_median
44,0.0,none,1,64,16,64,32,0.2865043618368109,0.32632971543899997,0.24335291606751072,0.24335291606751072,1.0,23.24159739764119
44,0.0,none,2,64,16,128,32,0.35406263063718885,0.3991228126123933,0.35837669180256565,0.35837669180256565,1.0,28.047000970101966
44,0.0,none,4,64,16,256,32,0.37854962311709056,0.3919918149053749,0.4876298378516733,0.4876298378516733,1.0,37.23354862436013
44,0.0,none,8,64,16,512,32,0.3741963591421402,0.3945484166019931,0.5846859375145391,0.5846859375145391,1.0,51.69870158120993
44,0.0,full,1,64,16,64,32,0.1923192451385724,0.21684324152948173,0.07898042212014854,0.07898042212014854,1.0,23.24159739764119
44,0.0,full,2,64,16,128,32,0.23728467734080763,0.25470752224080484,0.1362838143238423,0.13149700625515662,1.0,28.047000970101966
44,0.0,full,4,64,16,256,32,0.2514283838273423,0.2572607275902539,0.16487993443317175,0.14065790379592752,1.0,37.23354862436013
44,0.0,full,8,64,16,512,32,0.225224035692043,0.23280470548935625,0.20983178972060876,0.1628406870227427,0.770567631536753,51.69870158120993
44,8.0,none,1,64,16,64,32,0.32520895140264017,0.36105821422664347,0.17295206336975869,0.17295206336975869,1.0,7.623126740998734
44,8.0,none,2,64,16,128,32,0.2342519274294049,0.2530864244179148,0.19264792204445977,0.19264792204445977,1.0,11.207961941586772
44,8.0,none,4,64,16,256,32,0.22311824513492515,0.24344631267346029,0.2166785625068971,0.2166785625068971,1.0,14.865843279701654
44,8.0,none,8,64,16,512,32,0.19460902804539687,0.19540687322273823,0.2270356226128777,0.2270356226128777,1.0,13.840591885204141
44,8.0,full,1,64,16,64,32,0.1929531953715341,0.2069051667973357,0.04280989072470977,0.04280989072470977,1.0,7.623126740998734
44,8.0,full,2,64,16,128,32,0.16916613037781295,0.18619123366181842,0.05932012612987982,0.04545837281581246,1.0,11.207961941586772
44,8.0,full,4,64,16,256,32,0.1815986094391706,0.18516545937705156,0.0773037652172771,0.04895220541977393,0.7748674657762954,14.865843279701654
44,8.0,full,8,64,16,512,32,0.1225105885102815,0.13300613746303003,0.0788878797071093,0.03655645801237358,0.5429504618374508,13.840591885204141
45,0.0,none,1,64,16,64,32,0.3145587129309429,0.32279969427408567,0.23265773907135517,0.23265773907135517,1.0,23.052884906771204
45,0.0,none,2,64,16,128,32,0.35636457776553004,0.37723032557377395,0.3463148753082752,0.3463148753082752,1.0,23.154622485725092
45,0.0,none,4,64,16,256,32,0.38687527152977924,0.4061159833597343,0.47680886398462086,0.47680886398462086,1.0,32.03513483666453
45,0.0,none,8,64,16,512,32,0.35086942235956253,0.373964334998712,0.5767968011913457,0.5767968011913457,1.0,48.51226748284357
45,0.0,full,1,64,16,64,32,0.2150825510010469,0.21234684859201225,0.07916853336364298,0.07916853336364298,1.0,23.052884906771204
