protocol,n_fit_queries,n_eval_queries,focus_strength,budget,n_pairs,kl_median,kl_ci_lower,kl_ci_upper,kl_ceiling,kl_saturated,js_median,js_ci_lower,js_ci_upper,js_max_possible,noise_floor_kl,noise_floor_js,kl_over_floor,js_over_floor,jaccard_median,h1_criterion_met,beats_sampling_floor,key_sets_distinct
in-sample,48,48,0.0,16,6,15.381434440612793,13.506704807281494,15.868710994720459,19.360688002443837,False,0.6224667131900787,0.5491713881492615,0.6426082253456116,0.6931,3.8784886598587036,0.17736876010894775,3.9658320004403858,3.5094495378314203,0.06666666666666667,True,True,True
in-sample,48,48,0.0,32,6,12.416257858276367,10.808446645736694,13.514326810836792,19.360688002443837,False,0.563336580991745,0.4890187382698059,0.5874937772750854,0.6931,2.7051000595092773,0.14725804328918457,4.589944026147689,3.82550635883072,0.15324675324675324,True,True,True
in-sample,48,48,0.0,64,6,9.06316590309143,8.13041377067566,10.027858257293701,19.360688002443837,False,0.45388227701187134,0.4095379561185837,0.4820602834224701,0.6931,2.9021501541137695,0.16191883385181427,3.1229141918258367,2.8031468990646125,0.2736633663366337,True,True,True
in-sample,48,48,0.0,128,6,5.293474435806274,4.587081074714661,5.717518210411072,19.360688002443837,False,0.26942142844200134,0.233262300491333,0.28942857682704926,0.6931,1.3634759783744812,0.06864900141954422,3.882337877427872,3.924622687451032,0.446512370311253,True,True,True
in-sample,48,48,2.0,16,6,15.370313167572021,12.949948072433472,16.718076705932617,19.360688002443837,False,0.6371768116950989,0.5350810587406158,0.6812291443347931,0.6931,7.77257513999939,0.37993431091308594,1.9775058961441225,1.6770709919927709,0.06666666666666667,True,True,True
in-sample,48,48,2.0,32,6,13.296316146850586,11.837568998336792,14.341798782348633,19.360688002443837,False,0.5816084742546082,0.5284558832645416,0.6105692684650421,0.6931,4.775054454803467,0.25178787112236023,2.7845370712945807,2.309914578736664,0.09409701928696668,True,True,True
in-sample,48,48,2.0,64,6,10.159218311309814,9.152987003326416,11.177345991134644,19.360688002443837,False,0.4903397858142853,0.45037831366062164,0.5364266932010651,0.6931,4.011817097663879,0.23902471363544464,2.532323399595068,2.0514187773994825,0.2019044260271557,True,True,True
in-sample,48,48,2.0,128,6,6.527365446090698,6.084416627883911,6.645133376121521,19.360688002443837,False,0.3282497525215149,0.30611900985240936,0.33208855986595154,0.6931,1.7972172498703003,0.10091650485992432,3.6319289983232457,3.2526864954066452,0.3618562535370685,True,True,True
in-sample,48,48,4.0,16,6,14.838359355926514,12.93033242225647,17.409923553466797,19.360688002443837,False,0.6202079951763153,0.5457781255245209,0.6924526393413544,0.6931,2.887700915336609,0.16697920858860016,5.138468210859316,3.7142827566297227,0.08505747126436781,True,True,True
in-sample,48,48,4.0,32,6,13.650824546813965,13.15607738494873,15.90993046760559,19.360688002443837,False,0.6062738001346588,0.5778873562812805,0.6644777357578278,0.6931,4.653533697128296,0.2714165449142456,2.9334319756270193,2.2337392892766053,0.0847457627118644,True,True,True
in-sample,48,48,4.0,64,6,11.17937445640564,9.913618564605713,12.57078218460083,19.360688002443837,False,0.519814521074295,0.47175930440425873,0.578496664762497,0.6931,3.3114590644836426,0.19616760313510895,3.3759663757609655,2.6498489697928194,0.14322169059011164,True,True,True
in-sample,48,48,4.0,128,6,6.73632276058197,6.0602638721466064,7.631701946258545,19.360688002443837,False,0.3346601128578186,0.3023828864097595,0.37404829263687134,0.6931,1.318015217781067,0.07550978660583496,5.110959774745885,4.4320097817884445,0.32307692307692304,True,True,True
in-sample,48,48,8.0,16,6,14.799744367599487,13.368379831314087,16.77175736427307,19.360688002443837,False,0.62005215883255,0.5736067593097687,0.6790465116500854,0.6931,1.428802251815796,0.08307041972875595,10.35814742648341,7.464175104172618,0.04946236559139785,True,True,True
in-sample,48,48,8.0,32,6,13.657870054244995,12.326318502426147,15.769006252288818,19.360688002443837,False,0.5990583300590515,0.5487520098686218,0.6676610112190247,0.6931,0.7473393082618713,0.054481249302625656,18.275326753532962,10.995679022180218,0.06696304529035843,True,True,True
in-sample,48,48,8.0,64,6,11.429967403411865,10.649962902069092,12.33950161933899,19.360688002443837,False,0.5265347063541412,0.4933587610721588,0.5686931908130646,0.6931,0.544975534081459,0.03442396596074104,20.973358781466683,15.295585260415082,0.12795031055900621,True,True,True
in-sample,48,48,8.0,128,6,6.882689356803894,5.393456339836121,7.80337393283844,19.360688002443837,False,0.3340030014514923,0.26352164149284363,0.38063177466392517,0.6931,0.13974401727318764,0.011380513198673725,49.252121780275026,29.348676603654106,0.32046475765068727,True,True,True
in-sample,48,48,16.0,16,6,15.376106262207031,13.804105758666992,17.205331325531006,19.360688002443837,False,0.6674472391605377,0.5940654277801514,0.68315589427948,0.6931,0.290603831410408,0.01290596928447485,52.91088623154448,51.716165167341515,0.03225806451612903,True,True,True
in-sample,48,48,16.0,32,6,13.84493613243103,12.078402996063232,15.739694118499756,19.360688002443837,False,0.6267591118812561,0.5264217257499695,0.6808973252773285,0.6931,0.13786596432328224,0.006215203087776899,100.42316245629708,100.84290135488396,0.05792349726775956,True,True,True
in-sample,48,48,16.0,64,6,12.367812633514404,11.097416877746582,13.63594675064087,19.360688002443837,False,0.5778263807296753,0.47640421986579895,0.6359939873218536,0.6931,0.014021649491041899,0.0008419140358455479,882.0511910111509,686.324679394797,0.10841205578047683,True,True,True
in-sample,48,48,16.0,128,6,8.236193060874939,6.290463924407959,9.543418169021606,19.360688002443837,False,0.37755563855171204,0.28329037129879,0.48877130448818207,0.6931,0.0012485719635151327,0.00031171293812803924,6596.490471952774,1211.2286413874397,0.3101570680628273,True,True,True
