protocol,n_fit_queries,n_eval_queries,beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
in-sample,48,48,full,8.0,16,1,0.2625962197780609,0.5629063248634338,0.3003101050853729
in-sample,48,48,full,8.0,16,2,0.22926490008831024,0.999502956867218,0.7702380567789078
in-sample,48,48,full,8.0,16,3,0.3504527807235718,0.7312379479408264,0.38078516721725464
in-sample,48,48,full,8.0,32,0,0.18148203194141388,0.6007199883460999,0.419237956404686
in-sample,48,48,full,8.0,32,1,0.18453119695186615,0.519393265247345,0.3348620682954788
in-sample,48,48,full,8.0,32,2,0.13844935595989227,0.8499564528465271,0.7115070968866348
in-sample,48,48,full,8.0,32,3,0.2427157610654831,0.7023399472236633,0.45962418615818024
in-sample,48,48,full,8.0,64,0,0.12371177226305008,0.4788077771663666,0.3550960049033165
in-sample,48,48,full,8.0,64,1,0.12239345908164978,0.4430147111415863,0.3206212520599365
in-sample,48,48,full,8.0,64,2,0.09410810470581055,0.6371887922286987,0.5430806875228882
in-sample,48,48,full,8.0,64,3,0.16615352034568787,0.543511688709259,0.37735816836357117
in-sample,48,48,full,8.0,128,0,0.12508466839790344,0.4367576837539673,0.31167301535606384
in-sample,48,48,full,8.0,128,1,0.11919733136892319,0.3844304084777832,0.26523307710886
in-sample,48,48,full,8.0,128,2,0.09414216130971909,0.4958260953426361,0.401683934032917
in-sample,48,48,full,8.0,128,3,0.1542903482913971,0.4647772014141083,0.3104868531227112
in-sample,48,48,full,16.0,16,0,0.05477503314614296,0.23813091218471527,0.1833558790385723
in-sample,48,48,full,16.0,16,1,0.06975477188825607,0.2988409698009491,0.22908619791269302
in-sample,48,48,full,16.0,16,2,0.03372065722942352,0.38754382729530334,0.3538231700658798
in-sample,48,48,full,16.0,16,3,0.09107032418251038,0.4972113072872162,0.4061409831047058
in-sample,48,48,full,16.0,32,0,0.03634115308523178,0.15329033136367798,0.1169491782784462
in-sample,48,48,full,16.0,32,1,0.04213143512606621,0.27483922243118286,0.23270778730511665
in-sample,48,48,full,16.0,32,2,0.023997820913791656,0.26133862137794495,0.2373408004641533
in-sample,48,48,full,16.0,32,3,0.047257546335458755,0.36881980299949646,0.3215622566640377
in-sample,48,48,full,16.0,64,0,0.037622999399900436,0.11830782890319824,0.0806848295032978
in-sample,48,48,full,16.0,64,1,0.04012099280953407,0.2023417204618454,0.16222072765231133
in-sample,48,48,full,16.0,64,2,0.025142155587673187,0.2280483990907669,0.20290624350309372
in-sample,48,48,full,16.0,64,3,0.04392137750983238,0.25079241394996643,0.20687103644013405
in-sample,48,48,full,16.0,128,0,0.041243329644203186,0.1117343083024025,0.07049097865819931
in-sample,48,48,full,16.0,128,1,0.04329833388328552,0.1970527619123459,0.15375442802906036
in-sample,48,48,full,16.0,128,2,0.028796769678592682,0.22609327733516693,0.19729650765657425
in-sample,48,48,full,16.0,128,3,0.04532647132873535,0.24962663650512695,0.2043001651763916
