focus_strength,budget,nominal_compression_ratio,retained_mass_fraction,retained_over_nominal,eps_mass_abs_none_median,eps_mass_signed_none_median,eps_mass_signed_none_ci_lower,eps_mass_signed_none_ci_upper,mass_underestimated_none,eps_out_rel_none_median,eps_mass_abs_over_m_median,eps_mass_signed_over_m_median,eps_mass_signed_over_m_ci_lower,eps_mass_signed_over_m_ci_upper,mass_underestimated_over_m,eps_out_rel_over_m_median,eps_mass_abs_full_median,eps_mass_signed_full_median,eps_mass_signed_full_ci_lower,eps_mass_signed_full_ci_upper,mass_underestimated_full,eps_out_rel_full_median
8.0,16,0.125,0.6420922875404358,5.136738300323486,0.31034277379512787,-0.31034277379512787,-0.415507972240448,-0.281022310256958,True,0.11127526313066483,0.33304624259471893,-0.33304624259471893,-0.41409173607826233,-0.316989078745246,True,0.1012437753379345,0.5296325087547302,-0.5296325087547302,-0.6018645167350769,-0.4986051619052887,True,0.6187088489532471
8.0,64,0.5,0.919776976108551,1.839553952217102,0.07618551328778267,-0.07618551328778267,-0.08972018212080002,-0.06652028113603592,True,0.1982174590229988,0.1270221509039402,0.1004151739180088,0.07265076786279678,0.1247075065039098,False,0.03486083447933197,0.36047545075416565,0.05580499395728111,-0.2728832960128784,0.25789785385131836,False,0.9006041884422302
8.0,128,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,0.24098379164934158,0.1378568410873413,-0.0946427658200264,-0.1293189365416765,0.05028728803154081,False,0.04225808195769787,0.46925799548625946,0.035467611625790596,-0.17118146270513535,0.8408927321434021,False,0.6006036996841431
