seed,focus_strength,budget,nominal_compression_ratio,projection_dim,reference_projection_dim,M,n_fit_queries,n_eval_queries,selection_jaccard_vs_noprojection,selection_jaccard_vs_max_dp,jl_distortion_mean,jl_distortion_p95,nearest_repr_dist_median,nearest_eval_dist_median,coverage_ratio,coverage_frac_within_radius,eps_mass_abscommon_median,eps_mass_abscommon_mean,eps_out_rel_median,eps_out_rel_mean
42,8.0,16,0.0625,4,64,32,48,48,0.5609756097560976,0.5609756097560976,0.2856042413293168,0.6714331099268553,6.317083473542976,6.082253598292319,1.0386090240162873,0.3333333333333333,0.1474676676364992,0.2277688450361709,0.4385082044365063,0.48662385428591676
42,8.0,16,0.0625,8,64,32,48,48,0.5609756097560976,0.5609756097560976,0.21531635658663667,0.5074373156534602,6.233920298346928,6.082253598292319,1.0249359382345002,0.3541666666666667,0.1722590177198288,0.242275768840845,0.4365730122399236,0.4836341306300982
42,8.0,16,0.0625,16,64,32,48,48,0.7297297297297297,0.7297297297297297,0.1390532852782407,0.332598908295216,6.415631045503316,6.082253598292319,1.0548115006752665,0.2916666666666667,0.17504710805404047,0.24562928894940386,0.49808207400676946,0.5303050212852941
42,8.0,16,0.0625,32,64,32,48,48,0.6410256410256411,0.7297297297297297,0.09242514848645726,0.2220302689248257,6.378480071229533,6.082253598292319,1.0487034070758467,0.3125,0.16616459764059469,0.24897555144371428,0.5095304860523708,0.5134811347923552
42,8.0,16,0.0625,64,64,32,48,48,0.8285714285714286,1.0,0.06222373704587451,0.15761891793647065,6.3826943996497025,6.082253598292319,1.0493962963728916,0.20833333333333334,0.19555923155108149,0.2573195939574408,0.4574716079444265,0.49042172963496133
42,8.0,16,0.0625,,64,32,48,48,1.0,,0.0,0.0,6.580689722440776,6.082253598292319,1.08194925056846,0.1875,,,,
42,8.0,32,0.125,4,64,32,48,48,0.5609756097560976,0.5609756097560976,0.2856042413293168,0.6714331099268553,6.317083473542976,6.082253598292319,1.0386090240162873,0.3333333333333333,0.14481822171866862,0.15617059534978486,0.42095505637642777,0.43068906980433613
42,8.0,32,0.125,8,64,32,48,48,0.5609756097560976,0.5609756097560976,0.21531635658663667,0.5074373156534602,6.233920298346928,6.082253598292319,1.0249359382345002,0.3541666666666667,0.09997551266537583,0.13493645917942018,0.4436852213547215,0.47370492714541007
42,8.0,32,0.125,16,64,32,48,48,0.7297297297297297,0.7297297297297297,0.1390532852782407,0.332598908295216,6.415631045503316,6.082253598292319,1.0548115006752665,0.2916666666666667,0.09096242604396551,0.14055563359299064,0.42289122885647706,0.45628248044370884
42,8.0,32,0.125,32,64,32,48,48,0.6410256410256411,0.7297297297297297,0.09242514848645726,0.2220302689248257,6.378480071229533,6.082253598292319,1.0487034070758467,0.3125,0.08743394212526451,0.12426097371570137,0.40844426441433823,0.43885815207638296
42,8.0,32,0.125,64,64,32,48,48,0.8285714285714286,1.0,0.06222373704587451,0.15761891793647065,6.3826943996497025,6.082253598292319,1.0493962963728916,0.20833333333333334,0.09569209561590339,0.13188510919155774,0.38934877346031227,0.42108068022530926
42,8.0,32,0.125,,64,32,48,48,1.0,,0.0,0.0,6.580689722440776,6.082253598292319,1.08194925056846,0.1875,,,,
42,8.0,64,0.25,4,64,32,48,48,0.5609756097560976,0.5609756097560976,0.2856042413293168,0.6714331099268553,6.317083473542976,6.082253598292319,1.0386090240162873,0.3333333333333333,0.07929442970525334,0.09644101575148804,0.3551093961331479,0.36430961797123257
42,8.0,64,0.25,8,64,32,48,48,0.5609756097560976,0.5609756097560976,0.21531635658663667,0.5074373156534602,6.233920298346928,6.082253598292319,1.0249359382345002,0.3541666666666667,0.0630941852581373,0.0813306314702744,0.32566504500829213,0.34883909575895505
42,8.0,64,0.25,16,64,32,48,48,0.7297297297297297,0.7297297297297297,0.1390532852782407,0.332598908295216,6.415631045503316,6.082253598292319,1.0548115006752665,0.2916666666666667,0.0686580461636895,0.08259965767372875,0.31729415782160236,0.3522491960163647
42,8.0,64,0.25,32,64,32,48,48,0.6410256410256411,0.7297297297297297,0.09242514848645726,0.2220302689248257,6.378480071229533,6.082253598292319,1.0487034070758467,0.3125,0.062388287249484656,0.08259244974822001,0.32859731240044254,0.3479126684605696
42,8.0,64,0.25,64,64,32,48,48,0.8285714285714286,1.0,0.06222373704587451,0.15761891793647065,6.3826943996497025,6.082253598292319,1.0493962963728916,0.20833333333333334,0.05092360074352707,0.07805570122935591,0.3165878858517285,0.33936170795519044
42,8.0,64,0.25,,64,32,48,48,1.0,,0.0,0.0,6.580689722440776,6.082253598292319,1.08194925056846,0.1875,,,,
43,0.0,16,0.0625,4,64,32,48,48,0.4883720930232558,0.5238095238095238,0.2779797333365626,0.6502844902377423,5.929589273827803,5.885395656768864,1.007509030766199,0.375,0.34392001616997064,0.3641793150021609,0.6990164136072037,0.7192302109295473
43,0.0,16,0.0625,8,64,32,48,48,0.4883720930232558,0.5609756097560976,0.1861752519345507,0.450140524760544,6.107746270352059,5.885395656768864,1.0377800621316646,0.2916666666666667,0.379467531701938,0.35876660323641923,0.6920641102852775,0.690646542350586
43,0.0,16,0.0625,16,64,32,48,48,0.5238095238095238,0.6,0.13344839395092456,0.32058210942820875,5.98654515518135,5.885395656768864,1.0171865247997618,0.4166666666666667,0.3440628861781824,0.35002126683772433,0.651392924844189,0.6842917432922063
