spec,family,seed,dest,M,budget,L_s,eval_out_err_median,eval_abs_mass_median,eval_mixture_median,fit_abs_mass_median,beta_mean,beta_std,beta_min,beta_max,n_beta_le_m3,n_beta_le_m7,n_beta_at_clamp,frac_beta_le_m3,clamp_rate,support_size,rank_G_numeric,rank_upper_bound,cond_G,solver_residual,x_eff_budget,x_eff_budget_frac,x_eff_loss,x_col_mean_ratio,v_fit_resid_rel,beta_ideal_mass_preserving
box77,约束族,42,0,8,64,256,0.6518383622169495,0.16490644216537476,0.6077022552490234,0.13983307778835297,-0.3377268314361572,0.9082165956497192,-3.7224862575531006,1.0911340713500977,2,0,0,0.03125,0.0,64,8,8,7.991794111752607,9.304526429332327e-07,28.68729591369629,0.4482389986515045,0.5517610013484955,0.0016771018760532673,0.029025592388065593,1.3862943611198906
box33_lam1em2,约束族,42,0,8,64,256,0.6431748867034912,0.12735088169574738,0.6019594073295593,0.1245112493634224,-0.032226305454969406,0.47580987215042114,-1.4478373527526855,1.0000624656677246,0,0,0,0.0,0.0,64,8,8,7.991794111752607,9.163510549115017e-05,34.510746002197266,0.5392304062843323,0.4607695937156677,0.0157532797650001,0.03141506910964865,1.3862943611198906
noridge,正则族,42,0,8,64,256,0.6517897844314575,0.16667290031909943,0.6084064841270447,0.14677053689956665,-0.6080519556999207,1.9748982191085815,-11.380483627319336,1.1054913997650146,2,2,0,0.03125,0.0,64,8,8,7.991794111752607,3.410605131648481e-12,27.882396697998047,0.4356624484062195,0.5643375515937805,8.926013412514598e-07,0.02868631298610138,1.3862943611198906
lam1em4,正则族,42,0,8,64,256,0.6517968773841858,0.16649547219276428,0.6083387136459351,0.14606115221977234,-0.4558928310871124,1.2497280836105347,-6.096456527709961,1.1040579080581665,2,0,0,0.03125,0.0,64,8,8,7.991794111752607,9.200221029459499e-09,27.96559715270996,0.43696245551109314,0.5630375444889069,0.00015603051064568924,0.028719504875487304,1.3862943611198906
lam1em2,正则族,42,0,8,64,256,0.6443361043930054,0.13125069439411163,0.6023244857788086,0.1272333711385727,-0.04990670084953308,0.4976275861263275,-1.589789628982544,1.0065195560455322,0,0,0,0.0,0.0,64,8,8,7.991794111752607,9.162052447209135e-05,34.04340362548828,0.5319281816482544,0.4680718183517456,0.014786999708344897,0.031212185317095475,1.3862943611198906
lam1em1,正则族,42,0,8,64,256,0.611727774143219,0.07565311342477798,0.5674262642860413,0.07927247136831284,0.19412147998809814,0.24938587844371796,-0.5982840061187744,0.8296255469322205,0,0,0,0.0,0.0,64,8,8,7.991794111752607,0.008092526346445084,42.94480895996094,0.6710126399993896,0.32898736000061035,0.03766947604219624,0.03406643259360196,1.3862943611198906
scalar,对照,42,0,8,64,256,0.5968472361564636,0.05442740023136139,0.5511273145675659,0.08124018460512161,0.30018213391304016,0.0,0.30018213391304016,0.30018213391304016,0,0,0,0.0,0.0,64,8,8,7.991794111752607,0.00594317028298974,49.218231201171875,0.7690348625183105,0.23096513748168945,0.0726200461369558,0.03186597708429556,1.3862943611198906
nobeta,对照,42,0,8,64,256,0.5968472361564636,0.2593781054019928,0.5497336983680725,0.2603902816772461,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,64,8,8,7.991794111752607,9.311495432484662e-07,49.218231201171875,0.7690348625183105,0.23096513748168945,0.07262005367646251,0.03186601478587372,1.3862943611198906
unbound,基准,42,0,16,8,256,0.575421154499054,0.22943000495433807,0.5397434234619141,0.24672438204288483,-0.8830075263977051,5.340412616729736,-13.815510749816895,2.123817205429077,1,1,1,0.125,0.125,7,8,8,13.41409498959837,22.91216278076172,5.682910442352295,0.7103638052940369,0.28963619470596313,8.49467193082842e-08,0.4621499141713451,3.4657359027997265
box33,约束族,42,0,16,8,256,0.5758311152458191,0.22737334668636322,0.5386651754379272,0.24678421020507812,0.47619178891181946,1.769936442375183,-3.0,2.121955156326294,1,0,0,0.125,0.0,7,8,8,13.41409498959837,22.979066848754883,5.736189842224121,0.7170237302780151,0.28297626972198486,0.004236124616254248,0.4600530798713137,3.4657359027997265
